iter	MultiClass	Accuracy
0	1.092184142	0.4478976234
1	1.085754434	0.4515539305
2	1.078435259	0.4533820841
3	1.075077939	0.4570383912
4	1.067289105	0.4808043876
5	1.062718104	0.4771480804
6	1.054964514	0.478976234
7	1.051009088	0.4844606947
8	1.048452465	0.4826325411
9	1.047309914	0.4844606947
10	1.045757397	0.4844606947
11	1.041702714	0.4826325411
12	1.036804277	0.5009140768
13	1.034805957	0.4936014625
14	1.031877001	0.4954296161
15	1.028849652	0.5009140768
16	1.028116613	0.5027422303
17	1.025208735	0.5118829982
18	1.023797208	0.5118829982
19	1.021666138	0.5137111517
20	1.020058422	0.5137111517
21	1.018512073	0.5100548446
22	1.017519482	0.5063985375
23	1.015398902	0.5137111517
24	1.014695998	0.5118829982
25	1.012444034	0.5118829982
26	1.011569332	0.5173674589
27	1.009271391	0.521023766
28	1.008334237	0.5191956124
29	1.00628926	0.5191956124
30	1.004592974	0.5173674589
31	1.00387051	0.5173674589
32	1.002360011	0.5246800731
33	0.9994108766	0.5191956124
34	0.9979107791	0.521023766
35	0.9964172127	0.521023766
36	0.9949912914	0.521023766
37	0.9937428508	0.5173674589
38	0.9926651009	0.5173674589
39	0.9907153327	0.5265082267
40	0.9897935578	0.5246800731
41	0.9879891969	0.5283363803
42	0.9863968192	0.521023766
43	0.9847995548	0.5191956124
44	0.9833583922	0.521023766
45	0.9819140243	0.5246800731
46	0.9795643113	0.5283363803
47	0.9785875841	0.5283363803
48	0.9778960794	0.5356489945
49	0.9774748368	0.5356489945
50	0.9761444385	0.5356489945
51	0.9738581233	0.5374771481
52	0.9721583672	0.5393053016
53	0.9700941919	0.5356489945
54	0.9691195167	0.5374771481
55	0.9667075357	0.5411334552
56	0.9649189063	0.5393053016
57	0.9641718484	0.5411334552
58	0.9636622844	0.5393053016
59	0.9619893128	0.5393053016
60	0.9608670207	0.5466179159
61	0.9600680223	0.5466179159
62	0.9591152757	0.5484460695
63	0.9578879264	0.5539305302
64	0.9566703128	0.5575868373
65	0.9558478705	0.5612431444
66	0.9547976967	0.563071298
67	0.9527236247	0.5521023766
68	0.9510483019	0.5594149909
69	0.9504352678	0.5594149909
70	0.948912276	0.5612431444
71	0.948237526	0.5612431444
72	0.9463870046	0.5612431444
73	0.9461898142	0.5612431444
74	0.9417798051	0.563071298
75	0.9404190653	0.5612431444
76	0.9397422709	0.5594149909
77	0.9390527565	0.5594149909
78	0.9376366266	0.563071298
79	0.9360062346	0.5648994516
80	0.9347937607	0.5703839122
81	0.933321712	0.5703839122
82	0.932272331	0.5685557587
83	0.9303817768	0.5722120658
84	0.9287165851	0.5740402194
85	0.9279068822	0.5776965265
86	0.9268288345	0.5813528336
87	0.925585736	0.5850091408
88	0.9248532858	0.5831809872
89	0.9243777824	0.5813528336
90	0.9231501731	0.5813528336
91	0.922050722	0.5740402194
92	0.9202240468	0.5813528336
93	0.917792638	0.5776965265
94	0.9159326957	0.5831809872
95	0.9153026086	0.5850091408
96	0.9146939023	0.5850091408
97	0.9127464599	0.5904936015
98	0.9118150832	0.592321755
99	0.9107177418	0.592321755
100	0.9092270787	0.5959780622
101	0.9084352383	0.5996343693
102	0.9075437926	0.5978062157
103	0.9062055702	0.5996343693
104	0.9059500354	0.6014625229
105	0.9053117379	0.60511883
106	0.9045166161	0.60511883
107	0.9039407158	0.6014625229
108	0.9033337517	0.60511883
109	0.9022930324	0.6087751371
110	0.9005373322	0.6142595978
111	0.8996955904	0.6160877514
112	0.8992428683	0.6142595978
113	0.8978946636	0.6142595978
114	0.8971629261	0.6124314442
115	0.8959509461	0.6142595978
116	0.8953569414	0.6160877514
117	0.8937832886	0.6142595978
118	0.892013704	0.6160877514
119	0.8918355751	0.6160877514
120	0.8909280943	0.6197440585
121	0.8896684978	0.6234003656
122	0.8891081612	0.6234003656
123	0.8885760085	0.6234003656
124	0.8871744123	0.6160877514
125	0.8864386533	0.6142595978
126	0.8855854326	0.6215722121
127	0.883379927	0.6179159049
128	0.8828263014	0.6197440585
129	0.8819226153	0.6179159049
130	0.8814163569	0.6160877514
131	0.880611016	0.6179159049
132	0.8793212	0.6179159049
133	0.8784627812	0.6160877514
134	0.8777756825	0.6160877514
135	0.8758694417	0.6179159049
136	0.8746796373	0.6197440585
137	0.8735295873	0.6160877514
138	0.8726891671	0.6288848263
139	0.8722064396	0.6288848263
140	0.8717573652	0.6234003656
141	0.8698279316	0.6234003656
142	0.8686493838	0.6215722121
143	0.8670825165	0.6142595978
144	0.8657874166	0.6179159049
145	0.8645181954	0.6215722121
146	0.8640283398	0.6215722121
147	0.8636244375	0.6215722121
148	0.8624909981	0.6252285192
149	0.8613382788	0.6234003656
150	0.8608787073	0.6270566728
151	0.860133848	0.6270566728
152	0.859840426	0.6252285192
153	0.8591721945	0.6307129799
154	0.8580962609	0.6270566728
155	0.8572643265	0.6252285192
156	0.8565328047	0.6252285192
157	0.856157292	0.6288848263
158	0.8556084196	0.6252285192
159	0.8554389101	0.6288848263
160	0.8547896009	0.6307129799
161	0.8529816431	0.6325411335
162	0.8526131736	0.6307129799
163	0.8516717772	0.6361974406
164	0.8515549005	0.6380255941
165	0.8509050817	0.634369287
166	0.8498659991	0.6416819013
167	0.8494647245	0.6398537477
168	0.8477613996	0.6453382084
169	0.8468605959	0.647166362
170	0.8456126654	0.6526508227
171	0.8443294476	0.6599634369
172	0.8440355346	0.6599634369
173	0.8439149546	0.6581352834
174	0.8432807914	0.6636197441
175	0.8406156382	0.6654478976
176	0.8398778213	0.6654478976
177	0.8394963657	0.6672760512
178	0.8390255736	0.6636197441
179	0.8383765025	0.6672760512
180	0.8375359547	0.6672760512
181	0.8368909935	0.6672760512
182	0.8361209303	0.6617915905
183	0.8354582706	0.6636197441
184	0.8344998668	0.6672760512
185	0.8338858358	0.6709323583
186	0.8329601497	0.6709323583
187	0.8326187213	0.6691042048
188	0.8317199247	0.6691042048
189	0.8302741997	0.6672760512
190	0.8298215482	0.6672760512
191	0.8294303667	0.6709323583
192	0.8281883602	0.6672760512
193	0.8277468068	0.6691042048
194	0.8273566788	0.6727605119
195	0.8267601966	0.676416819
196	0.8251886287	0.6800731261
197	0.8247658889	0.6782449726
198	0.8242468477	0.676416819
199	0.8236692359	0.6745886654
200	0.8217533756	0.6745886654
201	0.8209121307	0.6745886654
202	0.819743567	0.6819012797
203	0.8194320769	0.6855575868
204	0.8188853636	0.6782449726
205	0.8178237555	0.6819012797
206	0.8172922218	0.6800731261
207	0.8163368547	0.6837294333
208	0.8156272927	0.689213894
209	0.8151008208	0.689213894
210	0.8146675391	0.689213894
211	0.8139469821	0.6873857404
212	0.8134406958	0.6855575868
213	0.8132757337	0.6873857404
214	0.8124145713	0.6819012797
215	0.8118158064	0.6873857404
216	0.8108015125	0.6819012797
217	0.8099586228	0.6800731261
218	0.809566523	0.6837294333
219	0.8069705122	0.6855575868
220	0.806732946	0.6873857404
221	0.8053847421	0.6910420475
222	0.8050145668	0.689213894
223	0.8043286506	0.6928702011
224	0.8039469215	0.6910420475
225	0.8025136376	0.7001828154
226	0.8017043851	0.6983546618
227	0.8000659057	0.6965265082
228	0.7994695561	0.7001828154
229	0.7988373937	0.7001828154
230	0.7982705037	0.6983546618
231	0.7976769695	0.7001828154
232	0.7966488763	0.7001828154
233	0.7961442414	0.7020109689
234	0.7946055764	0.6983546618
235	0.7937512967	0.7038391225
236	0.7928300496	0.7020109689
237	0.7918637697	0.7020109689
238	0.7900295418	0.7093235832
239	0.7894042795	0.7038391225
240	0.7874800341	0.7074954296
241	0.7868190481	0.7074954296
242	0.7865527186	0.7056672761
243	0.7861851961	0.7020109689
244	0.7848777937	0.7129798903
245	0.7839490882	0.7093235832
246	0.782709928	0.7148080439
247	0.7821004459	0.7129798903
248	0.7812723127	0.7148080439
249	0.7798259952	0.7148080439
250	0.7795076584	0.7166361974
251	0.7784550617	0.7202925046
252	0.7773495977	0.718464351
253	0.7770590687	0.7202925046
254	0.7759099539	0.718464351
255	0.7757008376	0.7202925046
256	0.7754836114	0.7166361974
257	0.7745372173	0.7239488117
258	0.7736705144	0.7276051188
259	0.7729648898	0.7239488117
260	0.77214082	0.7257769653
261	0.7714466532	0.7257769653
262	0.7711340404	0.7276051188
263	0.7698182718	0.7257769653
264	0.7695179875	0.7257769653
265	0.7685540932	0.7349177331
266	0.7678030445	0.7330895795
267	0.7672299569	0.7385740402
268	0.7668487403	0.7349177331
269	0.7662728652	0.7422303473
270	0.7656440739	0.7404021938
271	0.7654804334	0.7385740402
272	0.7647763128	0.7349177331
273	0.7640977951	0.7349177331
274	0.7629454283	0.7385740402
275	0.7626148409	0.7385740402
276	0.7622038586	0.7422303473
277	0.7615633067	0.7422303473
278	0.7608341464	0.7531992687
279	0.7602340445	0.747714808
280	0.7592866892	0.7458866545
281	0.7584966008	0.7495429616
282	0.7573149163	0.7531992687
283	0.7570043848	0.747714808
284	0.7566094679	0.7458866545
285	0.7558735838	0.7458866545
286	0.7541203907	0.747714808
287	0.7536456727	0.7495429616
288	0.7530477241	0.7495429616
289	0.7522881909	0.7495429616
290	0.7510031467	0.7531992687
291	0.7498917966	0.7495429616
292	0.7490999109	0.747714808
293	0.7483504593	0.7531992687
294	0.747474246	0.7513711152
295	0.7469906174	0.7495429616
296	0.7460520435	0.7531992687
297	0.7456071054	0.7513711152
298	0.7446517194	0.7458866545
299	0.7442302418	0.7495429616
300	0.7428333481	0.7495429616
301	0.7415289794	0.7495429616
302	0.739906266	0.747714808
303	0.739483612	0.7495429616
304	0.7392605922	0.7495429616
305	0.7383713209	0.7495429616
306	0.7379540622	0.7513711152
307	0.7375746159	0.7586837294
308	0.736082224	0.7568555759
309	0.7354461151	0.760511883
310	0.7348312967	0.760511883
311	0.7340721764	0.760511883
312	0.7334384273	0.760511883
313	0.7331301783	0.760511883
314	0.7328874363	0.760511883
315	0.7326274278	0.760511883
316	0.7323957471	0.7641681901
317	0.7317469813	0.7641681901
318	0.7306172811	0.7623400366
319	0.7301592471	0.7641681901
320	0.7296501885	0.7641681901
321	0.729093758	0.7678244973
322	0.7281616743	0.7678244973
323	0.7275756313	0.7659963437
324	0.7270963477	0.7678244973
325	0.7268326963	0.7678244973
326	0.7260577264	0.7714808044
327	0.7254261235	0.7714808044
328	0.7245070268	0.7696526508
329	0.7237031987	0.7678244973
330	0.7232754709	0.7678244973
331	0.7231093656	0.7714808044
332	0.7225889996	0.7714808044
333	0.7223119831	0.7696526508
334	0.7221499601	0.7678244973
335	0.7217494585	0.7696526508
336	0.7213921529	0.7714808044
337	0.7205263251	0.7714808044
338	0.7197148938	0.773308958
339	0.719193165	0.7714808044
340	0.7181150603	0.7714808044
341	0.7176802408	0.7751371115
342	0.7172731114	0.7769652651
343	0.7163011683	0.7787934186
344	0.7154353822	0.7769652651
345	0.7144316196	0.7787934186
346	0.713558775	0.7806215722
347	0.7129879401	0.7769652651
348	0.7118994247	0.7769652651
349	0.7114510433	0.7769652651
350	0.7108381471	0.7787934186
351	0.7099911049	0.7751371115
352	0.7092660204	0.7751371115
353	0.7090182614	0.7769652651
354	0.7087235342	0.7769652651
355	0.7079185586	0.7806215722
356	0.7070342105	0.7842778793
357	0.705925369	0.7824497258
358	0.7049206546	0.7842778793
359	0.7047523591	0.7824497258
360	0.7043655007	0.7879341865
361	0.7032934426	0.7861060329
362	0.7018946538	0.7842778793
363	0.7015638284	0.7861060329
364	0.7011616956	0.78976234
365	0.7003142678	0.7861060329
366	0.6999312585	0.7879341865
367	0.6992959897	0.7915904936
368	0.6989871086	0.7824497258
369	0.6982281281	0.7861060329
370	0.6979259313	0.78976234
371	0.6976356016	0.7934186472
372	0.6970969545	0.7934186472
373	0.6963406981	0.78976234
374	0.6959008543	0.7934186472
375	0.6951440523	0.7934186472
376	0.6944977897	0.7934186472
377	0.694214489	0.7934186472
378	0.6934020147	0.7934186472
379	0.6927457651	0.7934186472
380	0.6923566609	0.7915904936
381	0.6917638403	0.78976234
382	0.6910883636	0.78976234
383	0.6904932271	0.7879341865
384	0.6893216905	0.7879341865
385	0.6887044713	0.7879341865
386	0.6885086508	0.7861060329
387	0.6882572974	0.7879341865
388	0.6876519439	0.7879341865
389	0.686572361	0.78976234
390	0.6859638919	0.7915904936
391	0.6849108703	0.7879341865
392	0.6842079503	0.78976234
393	0.6840633894	0.78976234
394	0.6838827714	0.7879341865
395	0.6834654917	0.7915904936
396	0.6831906159	0.78976234
397	0.6826300897	0.7915904936
398	0.6820352724	0.7915904936
399	0.6813597005	0.7952468007
400	0.6803081205	0.7970749543
401	0.67903459	0.802559415
402	0.6784926884	0.8007312614
403	0.6780654889	0.8007312614
404	0.6776722271	0.8062157221
405	0.6760360638	0.802559415
406	0.6754859417	0.8062157221
407	0.6754040601	0.8062157221
408	0.6743656511	0.8043875686
409	0.673763349	0.8062157221
410	0.6731104484	0.8080438757
411	0.6726513895	0.8098720293
412	0.672131638	0.8080438757
413	0.6717281449	0.8117001828
414	0.6709234577	0.8098720293
415	0.6706453432	0.8098720293
416	0.6687759765	0.8062157221
417	0.6685335353	0.8062157221
418	0.6680827795	0.8098720293
419	0.6679078104	0.8098720293
420	0.6672238139	0.8080438757
421	0.6662357526	0.8080438757
422	0.6655915722	0.8080438757
423	0.6638435237	0.8117001828
424	0.6635445804	0.8117001828
425	0.662890241	0.8135283364
426	0.6624845068	0.8171846435
427	0.6617914041	0.8171846435
428	0.6610051219	0.8117001828
429	0.660723285	0.8135283364
430	0.6606284448	0.8135283364
431	0.6600570752	0.8153564899
432	0.6596219076	0.8190127971
433	0.6584104237	0.8135283364
434	0.6581050341	0.8135283364
435	0.6578738886	0.8135283364
436	0.6570712896	0.8098720293
437	0.6564801795	0.8117001828
438	0.6559397146	0.8098720293
439	0.6556830279	0.8117001828
440	0.654813007	0.8171846435
441	0.6543018559	0.8153564899
442	0.6537257488	0.8153564899
443	0.6533562838	0.8153564899
444	0.6514385737	0.8190127971
445	0.6504631002	0.8190127971
446	0.6494901254	0.8263254113
447	0.6491835258	0.8244972578
448	0.6491349273	0.8263254113
449	0.6481688449	0.8281535649
450	0.6476963256	0.831809872
451	0.6474901541	0.831809872
452	0.647077542	0.8299817185
453	0.646391792	0.8281535649
454	0.6462907925	0.8281535649
455	0.64590617	0.8336380256
456	0.6454506922	0.8336380256
457	0.6445044688	0.831809872
458	0.644267529	0.8354661792
459	0.6434289666	0.831809872
460	0.6432007864	0.831809872
461	0.6418527262	0.8354661792
462	0.6410217553	0.8372943327
463	0.6403839278	0.8391224863
464	0.6396920197	0.8354661792
465	0.6388372517	0.8372943327
466	0.6381771543	0.8391224863
467	0.6380934863	0.8391224863
468	0.6378398421	0.8372943327
469	0.6376242794	0.8354661792
470	0.6371740699	0.8354661792
471	0.6366468364	0.8372943327
472	0.6363493588	0.8336380256
473	0.6360606366	0.8336380256
474	0.635347578	0.8336380256
475	0.6345156415	0.8336380256
476	0.6343603855	0.8354661792
477	0.6337607666	0.8336380256
478	0.633686777	0.8336380256
479	0.633038365	0.8336380256
480	0.6326982825	0.8336380256
481	0.6322847293	0.831809872
482	0.6320578659	0.8336380256
483	0.6318890287	0.8336380256
484	0.6313054641	0.8299817185
485	0.6309373112	0.8299817185
486	0.6303637648	0.831809872
487	0.629933075	0.8354661792
488	0.6294980966	0.831809872
489	0.6281025777	0.831809872
