iter	MultiClass	Accuracy
0	1.093273489	0.4338235294
1	1.082448311	0.4558823529
2	1.076311461	0.46875
3	1.074657927	0.4669117647
4	1.066209183	0.4926470588
5	1.059485037	0.4889705882
6	1.053743257	0.5036764706
7	1.051051378	0.5036764706
8	1.048245231	0.5
9	1.045260221	0.4926470588
10	1.040165768	0.5018382353
11	1.037830989	0.4963235294
12	1.034917834	0.5
13	1.030137684	0.4944852941
14	1.029382479	0.4926470588
15	1.027487122	0.4963235294
16	1.023618041	0.5
17	1.019616939	0.5091911765
18	1.016730828	0.5183823529
19	1.014741403	0.5110294118
20	1.011980993	0.5165441176
21	1.010171	0.5147058824
22	1.008382149	0.5147058824
23	1.006738803	0.5128676471
24	1.004383018	0.5183823529
25	1.002586758	0.5183823529
26	1.001453152	0.5202205882
27	1.000324944	0.5147058824
28	0.9981052865	0.5165441176
29	0.9968243649	0.5128676471
30	0.9945591543	0.5349264706
31	0.991993767	0.5294117647
32	0.9911667701	0.53125
33	0.9905281834	0.5294117647
34	0.9870545945	0.53125
35	0.9855518824	0.5349264706
36	0.9847501612	0.5330882353
37	0.9837337416	0.5330882353
38	0.9829229344	0.53125
39	0.9814572818	0.5294117647
40	0.9799086607	0.53125
41	0.9786827173	0.5294117647
42	0.9767710463	0.5330882353
43	0.9753305239	0.5349264706
44	0.974556439	0.5330882353
45	0.9722027641	0.5477941176
46	0.9710000399	0.5477941176
47	0.9700948291	0.5441176471
48	0.9683583447	0.5496323529
49	0.9664564088	0.5514705882
50	0.9651851626	0.5459558824
51	0.9638649547	0.5514705882
52	0.9632750276	0.5533088235
53	0.9621220801	0.5477941176
54	0.9620839367	0.5477941176
55	0.961460597	0.5514705882
56	0.9600771456	0.5496323529
57	0.9593781581	0.5514705882
58	0.9587496085	0.5514705882
59	0.9577358419	0.5496323529
60	0.9563073461	0.5533088235
61	0.9555500356	0.5551470588
62	0.9544287668	0.5569852941
63	0.9524677446	0.5514705882
64	0.9507862677	0.5477941176
65	0.9489155444	0.5569852941
66	0.9473733503	0.5551470588
67	0.9451706735	0.5625
68	0.9436738837	0.5625
69	0.9431230029	0.5625
70	0.9418017877	0.5661764706
71	0.9399521809	0.5606617647
72	0.9392917467	0.5643382353
73	0.9381182739	0.5643382353
74	0.9363793867	0.5698529412
75	0.9357515922	0.5716911765
76	0.9348064501	0.5716911765
77	0.9340805071	0.5716911765
78	0.9335717982	0.5716911765
79	0.9325886426	0.5698529412
80	0.9317109055	0.5716911765
81	0.9304363771	0.5698529412
82	0.929368463	0.5698529412
83	0.9266895899	0.5753676471
84	0.9256912007	0.5753676471
85	0.9244640566	0.5753676471
86	0.9225554351	0.5790441176
87	0.9221849948	0.5808823529
88	0.9213402412	0.5827205882
89	0.9209637388	0.5827205882
90	0.9194589031	0.5845588235
91	0.9184753937	0.5845588235
92	0.9173395827	0.5882352941
93	0.9161474851	0.5827205882
94	0.9131626464	0.5827205882
95	0.9123657798	0.5827205882
96	0.9119386075	0.5845588235
97	0.9109124201	0.5900735294
98	0.9101130258	0.5863970588
99	0.9083966806	0.5900735294
100	0.9079707692	0.5919117647
101	0.9065152353	0.5974264706
102	0.9042330306	0.5992647059
103	0.9025732542	0.5955882353
104	0.9016969673	0.5955882353
105	0.9004035665	0.5992647059
106	0.8993029837	0.5992647059
107	0.8985317107	0.5992647059
108	0.8973741042	0.5992647059
109	0.895601845	0.6066176471
110	0.8952496213	0.6084558824
111	0.8941649252	0.6084558824
112	0.8930066265	0.6102941176
113	0.8912991167	0.6084558824
114	0.8903065011	0.6102941176
115	0.8892146716	0.6121323529
116	0.888700229	0.6121323529
117	0.8873450714	0.6121323529
118	0.8867443581	0.6121323529
119	0.8859086582	0.6121323529
120	0.8855240762	0.6121323529
121	0.8844215603	0.6102941176
122	0.882080877	0.6213235294
123	0.8815031774	0.6213235294
124	0.880819991	0.6194852941
125	0.8805494848	0.6194852941
126	0.8799104952	0.6194852941
127	0.8794373445	0.6158088235
128	0.8772510142	0.6213235294
129	0.8766042672	0.6194852941
130	0.8757634016	0.6176470588
131	0.8740698753	0.6176470588
132	0.8732214256	0.6213235294
133	0.8717456882	0.6268382353
134	0.8704880757	0.6286764706
135	0.8697819149	0.6286764706
136	0.8688132131	0.6286764706
137	0.8673414559	0.6305147059
138	0.8656990494	0.6341911765
139	0.8650447245	0.6341911765
140	0.8636108881	0.6305147059
141	0.8628486937	0.6323529412
142	0.861621714	0.6305147059
143	0.8607191455	0.6360294118
144	0.8600542277	0.6341911765
145	0.8595729777	0.6341911765
146	0.8591998368	0.6360294118
147	0.8583976957	0.6360294118
148	0.8567239155	0.6341911765
149	0.8557873304	0.6360294118
150	0.8551879754	0.6378676471
151	0.854367329	0.6360294118
152	0.852740642	0.6452205882
153	0.8520977833	0.6452205882
154	0.8517454611	0.6452205882
155	0.8510153982	0.6452205882
156	0.8500183331	0.6452205882
157	0.8486815863	0.6470588235
158	0.8480329657	0.6470588235
159	0.8472038721	0.6488970588
160	0.8465562847	0.6525735294
161	0.8448681706	0.6544117647
162	0.8438592747	0.6544117647
163	0.8430789781	0.6488970588
164	0.8414739194	0.6580882353
165	0.8410337525	0.65625
166	0.8406357463	0.65625
167	0.8404770565	0.65625
168	0.8386602973	0.6580882353
169	0.8372948929	0.6636029412
170	0.8360811165	0.6654411765
171	0.8352028282	0.6654411765
172	0.8337694793	0.6617647059
173	0.8335681948	0.6636029412
174	0.8323093799	0.6617647059
175	0.8313405486	0.6599264706
176	0.8301557376	0.6691176471
177	0.8299345524	0.6709558824
178	0.8284532861	0.6727941176
179	0.8276282222	0.6727941176
180	0.8269003754	0.6727941176
181	0.8255632742	0.6764705882
182	0.8243809194	0.6746323529
183	0.8234525499	0.6801470588
184	0.8227193484	0.6801470588
185	0.8219093046	0.6746323529
186	0.8211119229	0.6856617647
187	0.8205651982	0.6801470588
188	0.8198053353	0.6856617647
189	0.8194389661	0.6875
190	0.8189022224	0.6856617647
191	0.8181623334	0.6819852941
192	0.8172747956	0.6856617647
193	0.8165859741	0.6838235294
194	0.8159034121	0.6856617647
195	0.8157005808	0.6856617647
196	0.8151965519	0.6875
197	0.8143852976	0.6856617647
198	0.8140302711	0.6856617647
199	0.8135875388	0.6856617647
200	0.812279649	0.6838235294
201	0.8111748138	0.6819852941
202	0.810428521	0.6801470588
203	0.8101150414	0.6801470588
204	0.8094917142	0.6801470588
205	0.8085854046	0.6856617647
206	0.8068219065	0.6856617647
207	0.8062797256	0.6875
208	0.8046669854	0.6930147059
209	0.8040756422	0.6930147059
210	0.8033886791	0.6948529412
211	0.8029584111	0.6966911765
212	0.8026773422	0.6966911765
213	0.8013907905	0.7003676471
214	0.8009293204	0.7022058824
215	0.8002453713	0.7040441176
216	0.7999076622	0.7077205882
217	0.7993070903	0.7077205882
218	0.7983490049	0.7022058824
219	0.7977872426	0.7040441176
220	0.7975128233	0.7058823529
221	0.7961918469	0.7077205882
222	0.7943265277	0.7058823529
223	0.7939318272	0.7058823529
224	0.7935290621	0.7040441176
225	0.7930615945	0.7040441176
226	0.7923359505	0.7077205882
227	0.791785239	0.7077205882
228	0.7913522135	0.7077205882
229	0.7905823027	0.7058823529
230	0.7892677318	0.7040441176
231	0.7886710021	0.7058823529
232	0.7879642309	0.7058823529
233	0.7875176675	0.7058823529
234	0.7866116083	0.7040441176
235	0.7849381506	0.7077205882
236	0.7834589168	0.7095588235
237	0.7828708016	0.7077205882
238	0.7821805829	0.7077205882
239	0.7810166232	0.7077205882
240	0.7802161739	0.7058823529
241	0.7796093269	0.7113970588
242	0.7787676543	0.7077205882
243	0.7784601261	0.7095588235
244	0.7767920564	0.7077205882
245	0.776411689	0.7113970588
246	0.775399079	0.7095588235
247	0.7749505568	0.7113970588
248	0.7743890343	0.7113970588
249	0.7736023068	0.7077205882
250	0.7725783975	0.7113970588
251	0.7724013623	0.7095588235
252	0.7720334771	0.7132352941
253	0.7718811844	0.7132352941
254	0.7715860783	0.7113970588
255	0.7710364673	0.7150735294
256	0.7699947742	0.7150735294
257	0.7691631969	0.7132352941
258	0.7686059272	0.7132352941
259	0.7679237132	0.7205882353
260	0.7668557274	0.7205882353
261	0.7659045967	0.71875
262	0.7651246664	0.7169117647
263	0.7641803108	0.7169117647
264	0.7634704198	0.7205882353
265	0.7621864613	0.7205882353
266	0.7619645272	0.7242647059
267	0.7614545059	0.7261029412
268	0.7608064289	0.7279411765
269	0.7601533147	0.7261029412
270	0.759361925	0.7242647059
271	0.7588857769	0.7261029412
272	0.7583548903	0.7242647059
273	0.7580185401	0.7297794118
274	0.7578451941	0.7242647059
275	0.7569844212	0.7242647059
276	0.7552845587	0.7279411765
277	0.7548652367	0.7316176471
278	0.7539459091	0.7316176471
279	0.7532403312	0.7297794118
280	0.7514564189	0.7297794118
281	0.7508272854	0.7334558824
282	0.7499345251	0.7371323529
283	0.7496119488	0.7352941176
284	0.7490354701	0.7316176471
285	0.7488082945	0.7334558824
286	0.7470667691	0.7371323529
287	0.7459387135	0.7408088235
288	0.7454299574	0.7389705882
289	0.7447802054	0.7389705882
290	0.7442514059	0.7371323529
291	0.7439938704	0.7389705882
292	0.7431952665	0.7389705882
293	0.7430843856	0.7408088235
294	0.7422280519	0.7371323529
295	0.7418106706	0.7371323529
296	0.7416789817	0.7389705882
297	0.741293748	0.7426470588
298	0.741048309	0.7426470588
299	0.7391799017	0.7444852941
300	0.7387958912	0.7463235294
301	0.7384238173	0.7518382353
302	0.7380866876	0.7536764706
303	0.7370952175	0.7555147059
304	0.736499632	0.7536764706
305	0.7360713162	0.7518382353
306	0.735072973	0.7536764706
307	0.7339323793	0.7591911765
308	0.7331876389	0.7555147059
309	0.7319522561	0.7610294118
310	0.7317143947	0.7628676471
311	0.7314321942	0.7591911765
312	0.7310678736	0.7628676471
313	0.7309228835	0.7610294118
314	0.7298354161	0.7647058824
315	0.729522032	0.7628676471
316	0.7290693029	0.7647058824
317	0.7287273223	0.7665441176
