iter	MultiClass	Accuracy
0	1.086808351	0.4605504587
1	1.078903088	0.4733944954
2	1.070532875	0.4935779817
3	1.063387309	0.4844036697
4	1.059544608	0.4642201835
5	1.053175164	0.4825688073
6	1.05185315	0.471559633
7	1.04828959	0.4733944954
8	1.047048068	0.4733944954
9	1.044941288	0.480733945
10	1.041601977	0.4917431193
11	1.036697307	0.4862385321
12	1.033619569	0.4825688073
13	1.029847063	0.4935779817
14	1.027473966	0.5027522936
15	1.022667852	0.4990825688
16	1.02165626	0.495412844
17	1.019317545	0.4990825688
18	1.016945998	0.504587156
19	1.015395749	0.504587156
20	1.012411875	0.5174311927
21	1.007904074	0.5174311927
22	1.006006757	0.5174311927
23	1.001504177	0.5155963303
24	0.9979830566	0.5155963303
25	0.9952864109	0.519266055
26	0.993307443	0.5229357798
27	0.9927106727	0.5211009174
28	0.9919184494	0.5229357798
29	0.9908140359	0.5266055046
30	0.9893782684	0.5247706422
31	0.9855509617	0.519266055
32	0.984173089	0.5266055046
33	0.980884946	0.5211009174
34	0.979180564	0.528440367
35	0.9787515902	0.528440367
36	0.9765595795	0.5376146789
37	0.9752625111	0.5412844037
38	0.9752228387	0.5394495413
39	0.9739985161	0.5412844037
40	0.9728881824	0.5394495413
41	0.9723779557	0.5376146789
42	0.9714149106	0.5357798165
43	0.9702144974	0.5357798165
44	0.9672739628	0.5431192661
45	0.9669283051	0.5394495413
46	0.9663493589	0.5412844037
47	0.9659731077	0.5431192661
48	0.9657179913	0.5449541284
49	0.9648994627	0.5467889908
50	0.9644659054	0.5486238532
51	0.9640196345	0.5486238532
52	0.9632325559	0.5486238532
53	0.9627118967	0.5467889908
54	0.9616876446	0.5467889908
55	0.9608803791	0.5467889908
56	0.9596935078	0.5486238532
57	0.9591055227	0.5467889908
58	0.9565785357	0.5504587156
59	0.9552636428	0.5486238532
60	0.9537887946	0.5504587156
61	0.9531728929	0.5504587156
62	0.9523298364	0.5486238532
63	0.9516632984	0.5541284404
64	0.95075588	0.5577981651
65	0.9493939728	0.5614678899
66	0.9478363561	0.5596330275
67	0.9451687676	0.5577981651
68	0.9449081089	0.5596330275
69	0.9431716704	0.5651376147
70	0.9416416543	0.5651376147
71	0.9397872458	0.5651376147
72	0.9383992646	0.5669724771
73	0.9377532459	0.5669724771
74	0.9369384982	0.5651376147
75	0.9349808232	0.5688073394
76	0.933375678	0.5688073394
77	0.9329129855	0.5688073394
78	0.9317756831	0.5669724771
79	0.929482252	0.5688073394
80	0.9282196092	0.5724770642
81	0.9270071904	0.5724770642
82	0.9260627528	0.5779816514
83	0.9245066408	0.5816513761
84	0.9235666665	0.5779816514
85	0.9226090433	0.5743119266
86	0.9213536882	0.576146789
87	0.9205428185	0.5779816514
88	0.9193621678	0.5779816514
89	0.9184709816	0.576146789
90	0.9168968118	0.576146789
91	0.915503722	0.5834862385
92	0.9148240177	0.5816513761
93	0.9135970801	0.5834862385
94	0.9109654922	0.5853211009
95	0.9104343556	0.5908256881
96	0.9087448147	0.5889908257
97	0.9072469796	0.5908256881
98	0.9064660988	0.5889908257
99	0.9056616305	0.5889908257
100	0.9047658384	0.5908256881
101	0.9041542491	0.5908256881
102	0.903119166	0.5853211009
103	0.901631429	0.5908256881
104	0.9006622562	0.5908256881
105	0.9000734378	0.5963302752
106	0.8996966681	0.5981651376
107	0.8992772176	0.5963302752
108	0.8975358012	0.5944954128
109	0.8970216138	0.5963302752
110	0.8965429432	0.6
111	0.8964409653	0.5981651376
112	0.8948660396	0.5981651376
113	0.8937649072	0.6
114	0.8930020247	0.6
115	0.8920632262	0.6
116	0.8902921356	0.6018348624
117	0.8895736826	0.6091743119
118	0.8891917668	0.6073394495
119	0.8864136197	0.6091743119
120	0.8851771977	0.6128440367
121	0.8844931944	0.6091743119
122	0.8840852727	0.6055045872
123	0.8831536261	0.6110091743
124	0.8818291529	0.6110091743
125	0.8814404463	0.6165137615
126	0.880005607	0.6165137615
127	0.8796524284	0.6220183486
128	0.8781775103	0.6201834862
129	0.8764575799	0.6183486239
130	0.8754638829	0.6183486239
131	0.8734359938	0.6183486239
132	0.8731720359	0.6183486239
133	0.8726969956	0.6165137615
134	0.8713021941	0.6201834862
135	0.8694777372	0.6275229358
136	0.8682592612	0.623853211
137	0.8670809112	0.6330275229
138	0.8646809945	0.6311926606
139	0.862168697	0.6311926606
140	0.8610344868	0.6293577982
141	0.8601307665	0.6293577982
142	0.8592837875	0.6256880734
143	0.8588951137	0.623853211
144	0.8581806668	0.6275229358
145	0.8573324374	0.6275229358
146	0.8562245028	0.6256880734
147	0.8541260364	0.6293577982
148	0.8537809071	0.6275229358
149	0.8520790578	0.6385321101
150	0.8510816406	0.6330275229
151	0.8499629792	0.6348623853
152	0.8486160495	0.6440366972
153	0.8474146205	0.6385321101
154	0.8470000368	0.6385321101
155	0.8462679661	0.6385321101
156	0.8457264745	0.6385321101
157	0.8444886151	0.6422018349
158	0.8442054156	0.6458715596
159	0.8427261528	0.647706422
160	0.8418380209	0.6458715596
161	0.8410550874	0.6458715596
162	0.8402519703	0.6495412844
163	0.839505246	0.6513761468
164	0.8385681067	0.6458715596
165	0.8373064785	0.6458715596
166	0.8362344214	0.6513761468
167	0.8350918264	0.6513761468
168	0.833576179	0.6605504587
169	0.8324508026	0.6623853211
170	0.8309798327	0.6623853211
171	0.8299558743	0.6733944954
172	0.8288042316	0.6623853211
173	0.8281891356	0.6642201835
174	0.8276811518	0.6642201835
175	0.8270356533	0.6642201835
176	0.826644014	0.6660550459
177	0.8263449103	0.6642201835
178	0.8256554258	0.6642201835
179	0.8250031429	0.671559633
180	0.8244808432	0.6697247706
181	0.8234822415	0.6733944954
182	0.822612242	0.6752293578
183	0.8214680192	0.6752293578
184	0.8210829873	0.6752293578
185	0.8209032042	0.6770642202
186	0.8195936355	0.6788990826
187	0.818276594	0.6733944954
188	0.8177260598	0.6770642202
189	0.8172029218	0.6788990826
190	0.8163884538	0.6788990826
191	0.8148462214	0.680733945
192	0.8137770395	0.6862385321
193	0.8128665745	0.680733945
194	0.8119407313	0.6844036697
195	0.8101852048	0.6844036697
196	0.8094143708	0.6862385321
197	0.8083511296	0.6844036697
198	0.8075252249	0.6862385321
199	0.8070052511	0.6844036697
200	0.8064896567	0.6844036697
201	0.8053009407	0.6899082569
202	0.8036113395	0.6862385321
203	0.8025119058	0.6899082569
204	0.8021775868	0.6899082569
205	0.8013408085	0.6899082569
206	0.8000525605	0.6862385321
207	0.7979427933	0.6899082569
208	0.7967530928	0.6862385321
209	0.7964490574	0.6880733945
210	0.7955336338	0.6972477064
211	0.7944510127	0.7027522936
212	0.7927955916	0.6990825688
213	0.7917539203	0.6990825688
214	0.7910289021	0.7009174312
215	0.7901022098	0.7009174312
216	0.7889080005	0.704587156
217	0.7882615183	0.704587156
218	0.7880273108	0.7100917431
219	0.7877204232	0.7100917431
220	0.7875748266	0.7100917431
221	0.7863681181	0.7137614679
222	0.7858876105	0.7119266055
223	0.7852008925	0.7155963303
224	0.7848314621	0.7100917431
225	0.7842338567	0.7174311927
226	0.7831859816	0.7137614679
227	0.7818022612	0.7174311927
228	0.7813459152	0.7174311927
229	0.7806825964	0.719266055
230	0.7798210688	0.719266055
231	0.7784611223	0.719266055
232	0.777917243	0.719266055
233	0.7760373163	0.7119266055
234	0.7755443894	0.7100917431
235	0.7751160276	0.7100917431
236	0.7737706602	0.7137614679
237	0.7735600179	0.7137614679
238	0.773205205	0.7137614679
239	0.7722599643	0.7174311927
240	0.7716042523	0.719266055
241	0.7710751709	0.7174311927
242	0.7709308605	0.7174311927
243	0.7705078954	0.7174311927
244	0.7699929918	0.7174311927
245	0.7693476064	0.719266055
246	0.768742212	0.7211009174
247	0.7679027378	0.7211009174
248	0.7670766497	0.7247706422
249	0.7666626425	0.719266055
250	0.7664924315	0.7211009174
251	0.7658586799	0.7174311927
252	0.7649187154	0.7229357798
253	0.7645695728	0.7229357798
254	0.7638279009	0.719266055
255	0.762574914	0.7211009174
256	0.7615737377	0.7247706422
257	0.7609466824	0.719266055
258	0.7607031526	0.7229357798
259	0.7603616423	0.7247706422
260	0.7592461511	0.7266055046
261	0.7585755904	0.7247706422
262	0.7579387317	0.728440367
263	0.7572486002	0.7211009174
264	0.756428539	0.7211009174
265	0.755847415	0.7229357798
266	0.7553751974	0.7229357798
267	0.7546909949	0.7266055046
268	0.7535039708	0.7247706422
269	0.7521668471	0.728440367
270	0.7517422878	0.7266055046
271	0.7514653895	0.728440367
272	0.7502572779	0.7247706422
273	0.7498705449	0.7266055046
274	0.7489980865	0.7302752294
275	0.747513378	0.7321100917
276	0.7461832961	0.7302752294
277	0.7456534072	0.7321100917
278	0.7454399236	0.7302752294
279	0.7447415558	0.7266055046
280	0.7443802432	0.728440367
281	0.74363534	0.7321100917
282	0.7424884064	0.7357798165
283	0.7415321207	0.7412844037
284	0.7410506318	0.7357798165
285	0.7404317147	0.7339449541
286	0.7392978954	0.7321100917
287	0.7382117041	0.7321100917
288	0.736725738	0.7376146789
289	0.7365233305	0.7376146789
290	0.7360356822	0.7431192661
291	0.7351729921	0.7412844037
292	0.734636421	0.7486238532
293	0.7334057251	0.7449541284
294	0.7333442387	0.7431192661
295	0.7327790979	0.7412844037
296	0.7322935009	0.7486238532
297	0.7319725098	0.7467889908
298	0.7310607528	0.7486238532
299	0.7302156596	0.7467889908
300	0.7293804322	0.7504587156
301	0.7290252943	0.7504587156
302	0.7284117739	0.752293578
303	0.7275083271	0.7559633028
304	0.7268921262	0.7559633028
305	0.7262640152	0.7541284404
306	0.7260638235	0.7577981651
307	0.7248486473	0.7541284404
308	0.7244734702	0.7559633028
309	0.7230486112	0.7596330275
310	0.7226002342	0.7541284404
311	0.7214234177	0.752293578
312	0.7201806115	0.7577981651
313	0.7200638648	0.7577981651
314	0.7188625682	0.7596330275
315	0.7180594817	0.7614678899
316	0.7178011492	0.7614678899
317	0.7168687428	0.7614678899
318	0.7158978849	0.7577981651
319	0.7151731157	0.7577981651
320	0.714783131	0.7596330275
321	0.7140053894	0.7577981651
322	0.7129642178	0.7577981651
323	0.7124632659	0.7596330275
324	0.7117984913	0.7596330275
325	0.7105106941	0.7688073394
326	0.7095131945	0.7669724771
327	0.7093776846	0.7669724771
328	0.7092360578	0.7669724771
329	0.7085542505	0.7706422018
330	0.7077937869	0.7706422018
331	0.7069356742	0.7743119266
332	0.7058879301	0.7743119266
333	0.7055804081	0.776146789
334	0.7047489845	0.776146789
335	0.7024500348	0.7743119266
