Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;12.07.2019;20:00:00;Arsenal Tula;1–1;Dynamo Mosc;14,742;Stadion Arsenal;Sergey Lapochkin;Match Report;
1;Sat;13.07.2019;18:30:00;Ural;3–2;Ufa;14,614;Stadion Central'nyj;Sergey Karasev;Match Report;
1;Sat;13.07.2019;19:00:00;Spartak Moscow;1–0;Sochi;29,892;Otkrytie Arena;Vladimir Moskalev;Match Report;
1;Sat;13.07.2019;21:30:00;Rostov;2–1;Orenburg;14,584;Stadion SKA SKVO;Vladislav Bezborodov;Match Report;
1;Sun;14.07.2019;17:30:00;Samara;2–0;CSKA Moscow;25,287;Cosmos Arena;Kirill Levnikov;Match Report;
1;Sun;14.07.2019;19:00:00;Zenit;2–1;Tambov;46,231;Gazprom Arena;Aleksey Eskov;Match Report;
1;Sun;14.07.2019;21:30:00;Akhmat Grozny;1–0;Krasnodar;27,535;Stadion im. Akhmat-Khaji Kadyrova;Vitaly Meshkov;Match Report;
1;Mon;15.07.2019;20:00:00;Loko Moscow;1–1;Rubin Kazan;10,732;RZD Arena;Mikhail Vilkov;Match Report;
2;Sat;20.07.2019;16:00:00;Ufa;2–3;Krasnodar;6,725;Stadion Neftyanik;Aleksey Eskov;Match Report;
2;Sat;20.07.2019;17:30:00;Samara;2–3;Arsenal Tula;15,78;Cosmos Arena;Pavel Kukuyan;Match Report;
2;Sat;20.07.2019;19:00:00;CSKA Moscow;2–1;Orenburg;15,082;VEB Arena;Evgeny Turbin;Match Report;
2;Sat;20.07.2019;21:30:00;Rostov;2–2;Spartak Moscow;35,865;Rostov Arena;Kirill Levnikov;Match Report;
2;Sun;21.07.2019;16:00:00;Ural;3–0;Akhmat Grozny;15,611;Stadion Central'nyj;Aleksey Sukhoy;Match Report;
2;Sun;21.07.2019;16:30:00;Loko Moscow;2–1;Tambov;10,187;RZD Arena;Stanislav Vasilyev;Match Report;
2;Sun;21.07.2019;19:00:00;Dynamo Mosc;0–1;Rubin Kazan;17,315;VEB Arena;Vitaly Meshkov;Match Report;
2;Sun;21.07.2019;21:30:00;Sochi;0–2;Zenit;35,102;Olimpiyskiy Stadion Fisht;Aleksey Matyunin;Match Report;
3;Fri;26.07.2019;20:00:00;Dynamo Mosc;2–0;Ural;12,349;VTB Arena;Pavel Kukuyan;Match Report;
3;Sat;27.07.2019;16:00:00;Ufa;2–1;Samara;6,543;Stadion Neftyanik;Vasiliy Kazartsev;Match Report;
3;Sat;27.07.2019;16:30:00;Tambov;2–0;Spartak Moscow;23,238;Mordovia Arena;Mikhail Vilkov;Match Report;
3;Sat;27.07.2019;19:00:00;Krasnodar;3–0;Sochi;32,177;Stadion Akademii FK Krasnodar;Sergey Lapochkin;Match Report;
3;Sun;28.07.2019;16:00:00;Orenburg;0–2;Zenit;6,626;Stadion Gazovik;Sergey Karasev;Match Report;
3;Sun;28.07.2019;16:30:00;Arsenal Tula;2–3;Rostov;9,654;Stadion Arsenal;Aleksey Matyunin;Match Report;
3;Sun;28.07.2019;19:00:00;CSKA Moscow;1–0;Loko Moscow;27,897;VEB Arena;Vladislav Bezborodov;Match Report;
3;Mon;29.07.2019;20:00:00;Rubin Kazan;1–0;Akhmat Grozny;11,342;Central'nyj stadion Kazan';Sergey Ivanov;Match Report;
4;Sat;03.08.2019;16:00:00;Ural;2–2;Rostov;35,061;Stadion Central'nyj;Stanislav Vasilyev;Match Report;
4;Sat;03.08.2019;17:30:00;Samara;1–2;Loko Moscow;22,459;Cosmos Arena;Evgeny Turbin;Match Report;
4;Sat;03.08.2019;19:00:00;Spartak Moscow;0–0;Dynamo Mosc;34,389;Baza Futbol'nogo Kluba Spartak;Vladislav Bezborodov;Match Report;
4;Sat;03.08.2019;21:30:00;Zenit;1–1;Krasnodar;54,078;Gazprom Arena;Aleksey Eskov;Match Report;
4;Sun;04.08.2019;16:30:00;Tambov;0–1;Arsenal Tula;4,332;Mordovia Arena;Sergey Ivanov;Match Report;
4;Sun;04.08.2019;19:00:00;Rubin Kazan;0–1;CSKA Moscow;20,791;Central'nyj stadion Kazan';Vasiliy Kazartsev;Match Report;
4;Sun;04.08.2019;21:30:00;Sochi;0–0;Ufa;11,1;Olimpiyskiy Stadion Fisht;Aleksey Sukhoy;Match Report;
4;Mon;05.08.2019;20:00:00;Akhmat Grozny;2–1;Orenburg;11,721;Stadion im. Akhmat-Khaji Kadyrova;Nikolay Voloshin;Match Report;
