Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
5;Sat;10.08.2019;16:00:00;Orenburg;2–2;Tambov;4,076;Stadion Gazovik;Pavel Kukuyan;Match Report;
5;Sat;10.08.2019;19:00:00;Dynamo Mosc;0–2;Zenit;19,095;VTB Arena;Evgeny Turbin;Match Report;
5;Sat;10.08.2019;19:00:00;Krasnodar;1–0;Rubin Kazan;25,826;Stadion Akademii FK Krasnodar;Sergey Lapochkin;Match Report;
5;Sun;11.08.2019;14:00:00;Arsenal Tula;1–0;Ufa;11,34;Stadion Arsenal;Mikhail Vilkov;Match Report;
5;Sun;11.08.2019;16:30:00;Loko Moscow;4–0;Ural;14,181;RZD Arena;Nikolay Voloshin;Match Report;
5;Sun;11.08.2019;19:00:00;CSKA Moscow;0–0;Sochi;17,995;VEB Arena;Vitaly Meshkov;Match Report;
5;Sun;11.08.2019;21:30:00;Akhmat Grozny;1–3;Spartak Moscow;17,832;Stadion im. Akhmat-Khaji Kadyrova;Aleksey Sukhoy;Match Report;
5;Mon;12.08.2019;20:00:00;Rostov;1–0;Samara;28,674;Rostov Arena;Vasiliy Kazartsev;Match Report;
6;Fri;16.08.2019;20:00:00;Orenburg;1–1;Sochi;4,411;Stadion Gazovik;Mikhail Vilkov;Match Report;
6;Sat;17.08.2019;16:00:00;Ural;1–3;Samara;22,304;Stadion Central'nyj;Sergey Ivanov;Match Report;
6;Sat;17.08.2019;16:30:00;Tambov;0–2;Krasnodar;7,115;Mordovia Arena;Nikolay Voloshin;Match Report;
6;Sat;17.08.2019;19:00:00;Zenit;0–0;Akhmat Grozny;48,468;Gazprom Arena;Aleksey Matyunin;Match Report;
6;Sun;18.08.2019;14:00:00;Rubin Kazan;1–0;Arsenal Tula;10,022;Central'nyj stadion Kazan';Vladislav Bezborodov;Match Report;
6;Sun;18.08.2019;16:30:00;Ufa;2–0;Rostov;8,532;Stadion Neftyanik;Evgeny Turbin;Match Report;
6;Sun;18.08.2019;19:00:00;Dynamo Mosc;1–2;Loko Moscow;17,837;VTB Arena;Vasiliy Kazartsev;Match Report;
6;Mon;19.08.2019;20:00:00;Spartak Moscow;2–1;CSKA Moscow;44,434;Otkrytie Arena;Sergey Karasev;Match Report;
7;Sat;24.08.2019;14:00:00;Tambov;0–2;Dynamo Mosc;4,816;Mordovia Arena;Igor Panin;Match Report;
7;Sat;24.08.2019;18:30:00;Ufa;1–0;Zenit;13,368;Stadion Neftyanik;Sergey Ivanov;Match Report;
7;Sat;24.08.2019;19:00:00;Krasnodar;1–1;Loko Moscow;31,231;Stadion Akademii FK Krasnodar;Vladislav Bezborodov;Match Report;
7;Sun;25.08.2019;16:30:00;CSKA Moscow;3–0;Akhmat Grozny;18,508;VEB Arena;Vasiliy Kazartsev;Match Report;
7;Sun;25.08.2019;19:00:00;Rostov;2–1;Rubin Kazan;35,031;Rostov Arena;Vitaly Meshkov;Match Report;
7;Sun;25.08.2019;20:00:00;Samara;1–2;Spartak Moscow;32,286;Cosmos Arena;Sergey Lapochkin;Match Report;
7;Sun;25.08.2019;21:30:00;Arsenal Tula;2–1;Orenburg;8,347;Stadion Arsenal;Aleksey Sukhoy;Match Report;
7;Mon;26.08.2019;20:00:00;Ural;3–1;Sochi;10,171;Stadion Central'nyj;Sergey Karasev;Match Report;
8;Fri;30.08.2019;20:00:00;Samara;0–0;Dynamo Mosc;14,728;Cosmos Arena;Vladislav Bezborodov;Match Report;
8;Sat;31.08.2019;13:30:00;Ufa;1–2;Orenburg;6,892;Stadion Neftyanik;Igor Panin;Match Report;
8;Sat;31.08.2019;14:00:00;Rubin Kazan;0–3;Sochi;8,845;Central'nyj stadion Kazan';Nikolay Voloshin;Match Report;
8;Sat;31.08.2019;16:30:00;Loko Moscow;1–2;Rostov;19,356;RZD Arena;Sergey Lapochkin;Match Report;
8;Sat;31.08.2019;19:00:00;Akhmat Grozny;1–1;Tambov;8,743;Stadion im. Akhmat-Khaji Kadyrova;Sergey Karasev;Match Report;
8;Sun;01.09.2019;16:00:00;Ural;2–4;Krasnodar;18,388;Stadion Central'nyj;Aleksey Sukhoy;Match Report;
8;Sun;01.09.2019;19:00:00;Spartak Moscow;0–1;Zenit;43,382;Otkrytie Arena;Vitaly Meshkov;Match Report;
8;Sun;01.09.2019;20:30:00;Arsenal Tula;1–2;CSKA Moscow;18,758;Stadion Arsenal;Evgeny Turbin;Match Report;
9;Fri;13.09.2019;20:00:00;Zenit;3–1;Arsenal Tula;42,431;Gazprom Arena;Pavel Kukuyan;Match Report;
9;Sat;14.09.2019;16:30:00;Spartak Moscow;1–2;Ural;24,198;Otkrytie Arena;Sergey Ivanov;Match Report;
9;Sat;14.09.2019;19:00:00;Sochi;0–1;Loko Moscow;13,9;Olimpiyskiy Stadion Fisht;Igor Panin;Match Report;
9;Sun;15.09.2019;16:00:00;Orenburg;2–1;Rubin Kazan;4,767;Stadion Gazovik;Sergey Lapochkin;Match Report;
9;Sun;15.09.2019;16:30:00;Tambov;0–2;CSKA Moscow;17,145;Mordovia Arena;Mikhail Vilkov;Match Report;
9;Sun;15.09.2019;19:00:00;Krasnodar;4–2;Samara;26,131;Stadion Akademii FK Krasnodar;Sergey Karasev;Match Report;
9;Mon;16.09.2019;20:00:00;Dynamo Mosc;0–0;Ufa;9,538;VTB Arena;Vitaly Meshkov;Match Report;
9;Mon;16.09.2019;20:30:00;Rostov;2–1;Akhmat Grozny;28,772;Rostov Arena;Nikolay Voloshin;Match Report;
10;Fri;20.09.2019;19:30:00;Ufa;1–0;Spartak Moscow;10,809;Stadion Neftyanik;Aleksey Sukhoy;Match Report;
10;Sat;21.09.2019;14:00:00;Akhmat Grozny;1–1;Samara;8,737;Stadion im. Akhmat-Khaji Kadyrova;Stanislav Vasilyev;Match Report;
10;Sat;21.09.2019;19:00:00;Tambov;2–1;Rostov;3,258;Mordovia Arena;Vasiliy Kazartsev;Match Report;
10;Sat;21.09.2019;19:00:00;Zenit;5–0;Rubin Kazan;43,598;Gazprom Arena;Sergey Karasev;Match Report;
10;Sun;22.09.2019;11:30:00;Orenburg;2–3;Loko Moscow;4,854;Stadion Gazovik;Sergey Ivanov;Match Report;
10;Sun;22.09.2019;14:00:00;Dynamo Mosc;2–3;Sochi;10,119;VTB Arena;Sergey Lapochkin;Match Report;
10;Sun;22.09.2019;16:30:00;Arsenal Tula;1–1;Ural;7,256;Stadion Arsenal;Vitaly Meshkov;Match Report;
10;Sun;22.09.2019;19:00:00;CSKA Moscow;3–2;Krasnodar;21,026;VEB Arena;Vladislav Bezborodov;Match Report;
11;Sat;28.09.2019;14:00:00;Samara;2–0;Tambov;10,126;Cosmos Arena;Sergey Ivanov;Match Report;
11;Sat;28.09.2019;16:30:00;Rostov;3–0;Dynamo Mosc;29,99;Rostov Arena;Evgeny Turbin;Match Report;
11;Sat;28.09.2019;19:00:00;Loko Moscow;1–0;Zenit;21,598;RZD Arena;Mikhail Vilkov;Match Report;
11;Sun;29.09.2019;13:30:00;Ural;0–3;CSKA Moscow;20,13;Stadion Central'nyj;Pavel Kukuyan;Match Report;
11;Sun;29.09.2019;14:00:00;Rubin Kazan;0–0;Ufa;8,314;Central'nyj stadion Kazan';Aleksey Matyunin;Match Report;
11;Sun;29.09.2019;16:30:00;Spartak Moscow;1–2;Orenburg;20,817;Otkrytie Arena;Stanislav Vasilyev;Match Report;
11;Sun;29.09.2019;19:00:00;Krasnodar;2–0;Arsenal Tula;23,516;Stadion Akademii FK Krasnodar;Vasiliy Kazartsev;Match Report;
11;Mon;30.09.2019;19:30:00;Sochi;2–0;Akhmat Grozny;7,127;Olimpiyskiy Stadion Fisht;Aleksey Eskov;Match Report;
12;Sat;05.10.2019;13:30:00;Ufa;0–1;Akhmat Grozny;7,538;Stadion Neftyanik;Vladislav Bezborodov;Match Report;
12;Sat;05.10.2019;14:00:00;Orenburg;2–0;Dynamo Mosc;4,062;Stadion Gazovik;Pavel Kukuyan;Match Report;
12;Sat;05.10.2019;16:30:00;Rubin Kazan;2–1;Tambov;2,585;Central'nyj stadion Kazan';Aleksey Eskov;Match Report;
12;Sat;05.10.2019;19:00:00;Sochi;0–2;Samara;7,923;Olimpiyskiy Stadion Fisht;Aleksey Matyunin;Match Report;
12;Sun;06.10.2019;13:30:00;Ural;1–3;Zenit;22,432;Stadion Central'nyj;Nikolay Voloshin;Match Report;
12;Sun;06.10.2019;14:00:00;Loko Moscow;2–1;Arsenal Tula;11,204;RZD Arena;Sergey Lapochkin;Match Report;
12;Sun;06.10.2019;16:30:00;CSKA Moscow;1–3;Rostov;18,456;VEB Arena;Vasiliy Kazartsev;Match Report;
12;Sun;06.10.2019;19:00:00;Krasnodar;2–1;Spartak Moscow;32,238;Stadion Akademii FK Krasnodar;Vitaly Meshkov;Match Report;
13;Fri;18.10.2019;19:30:00;Akhmat Grozny;0–2;Loko Moscow;13,776;Stadion im. Akhmat-Khaji Kadyrova;Stanislav Vasilyev;Match Report;
13;Sat;19.10.2019;14:00:00;Tambov;1–2;Ural;1,883;Mordovia Arena;Igor Panin;Match Report;
13;Sat;19.10.2019;16:30:00;Spartak Moscow;0–0;Rubin Kazan;26,844;Otkrytie Arena;Sergey Lapochkin;Match Report;
13;Sat;19.10.2019;19:00:00;Zenit;6–1;Rostov;58,639;Gazprom Arena;Sergey Karasev;Match Report;
13;Sun;20.10.2019;11:30:00;Orenburg;0–1;Samara;4,311;Stadion Gazovik;Vasiliy Kazartsev;Match Report;
13;Sun;20.10.2019;16:00:00;Ufa;1–1;CSKA Moscow;11,282;Stadion Neftyanik;Nikolay Voloshin;Match Report;
13;Sun;20.10.2019;16:30:00;Arsenal Tula;1–1;Sochi;11,475;Stadion Arsenal;Vitaly Meshkov;Match Report;
13;Sun;20.10.2019;19:00:00;Dynamo Mosc;1–1;Krasnodar;15,374;VTB Arena;Mikhail Vilkov;Match Report;
14;Fri;25.10.2019;19:30:00;Rubin Kazan;0–0;Ural;5,086;Central'nyj stadion Kazan';Vitaly Meshkov;Match Report;
14;Sat;26.10.2019;14:00:00;Tambov;3–0;Ufa;1,451;Mordovia Arena;Sergey Lapochkin;Match Report;
14;Sat;26.10.2019;16:30:00;Akhmat Grozny;1–1;Arsenal Tula;11,265;Stadion im. Akhmat-Khaji Kadyrova;Nikolay Voloshin;Match Report;
14;Sat;26.10.2019;19:00:00;Rostov;2–0;Sochi;33,716;Rostov Arena;Evgeny Turbin;Match Report;
14;Sun;27.10.2019;14:00:00;Samara;0–2;Zenit;32,56;Cosmos Arena;Stanislav Vasilyev;Match Report;
14;Sun;27.10.2019;16:30:00;CSKA Moscow;0–1;Dynamo Mosc;20,019;VEB Arena;Sergey Karasev;Match Report;
14;Sun;27.10.2019;16:30:00;Loko Moscow;0–3;Spartak Moscow;22,863;RZD Arena;Aleksey Eskov;Match Report;
14;Sun;27.10.2019;19:00:00;Krasnodar;1–1;Orenburg;30,638;Stadion Akademii FK Krasnodar;Aleksey Matyunin;Match Report;
15;Sat;02.11.2019;14:00:00;Dynamo Mosc;1–1;Akhmat Grozny;10,092;VTB Arena;Sergey Lapochkin;Match Report;
15;Sat;02.11.2019;16:00:00;Ufa;1–1;Loko Moscow;6,157;Stadion Neftyanik;Evgeny Turbin;Match Report;
15;Sat;02.11.2019;16:30:00;Sochi;1–2;Tambov;6,138;Olimpiyskiy Stadion Fisht;Nikolay Voloshin;Match Report;
15;Sat;02.11.2019;19:00:00;Zenit;1–1;CSKA Moscow;48,141;Gazprom Arena;Mikhail Vilkov;Match Report;
15;Sun;03.11.2019;16:30:00;Krasnodar;2–2;Rostov;34,265;Stadion Akademii FK Krasnodar;Aleksey Eskov;Match Report;
15;Mon;04.11.2019;16:00:00;Ural;1–2;Orenburg;6,797;Stadion Central'nyj;Stanislav Vasilyev;Match Report;
15;Mon;04.11.2019;16:30:00;Samara;0–0;Rubin Kazan;10,842;Cosmos Arena;Vladislav Bezborodov;Match Report;
15;Mon;04.11.2019;19:00:00;Spartak Moscow;0–1;Arsenal Tula;19,31;Otkrytie Arena;Aleksey Sukhoy;Match Report;
16;Fri;08.11.2019;19:30:00;Akhmat Grozny;0–0;Ural;12,474;Stadion im. Akhmat-Khaji Kadyrova;Sergey Ivanov;Match Report;
16;Sat;09.11.2019;14:00:00;Rubin Kazan;0–1;Dynamo Mosc;4,757;Central'nyj stadion Kazan';Evgeny Turbin;Match Report;
16;Sat;09.11.2019;16:30:00;Rostov;1–2;Tambov;25,589;Rostov Arena;Sergey Karasev;Match Report;
16;Sat;09.11.2019;19:00:00;Spartak Moscow;2–0;Samara;18,719;Otkrytie Arena;Vitaly Meshkov;Match Report;
16;Sun;10.11.2019;13:30:00;Orenburg;0–0;Ufa;2,582;Stadion Gazovik;Mikhail Vilkov;Match Report;
16;Sun;10.11.2019;16:30:00;Sochi;2–3;CSKA Moscow;15,318;Olimpiyskiy Stadion Fisht;Stanislav Vasilyev;Match Report;
16;Sun;10.11.2019;18:00:00;Arsenal Tula;0–1;Zenit;16,095;Stadion Arsenal;Aleksey Eskov;Match Report;
16;Sun;10.11.2019;19:00:00;Loko Moscow;1–1;Krasnodar;17,612;RZD Arena;Vladislav Bezborodov;Match Report;
17;Fri;22.11.2019;19:30:00;Tambov;2–3;Loko Moscow;4,038;Mordovia Arena;Pavel Kukuyan;Match Report;
17;Sat;23.11.2019;13:30:00;Orenburg;1–2;Akhmat Grozny;1,745;Stadion Gazovik;Aleksey Eskov;Match Report;
17;Sat;23.11.2019;14:00:00;Rubin Kazan;1–2;Zenit;8,351;Central'nyj stadion Kazan';Sergey Ivanov;Match Report;
17;Sat;23.11.2019;16:30:00;Dynamo Mosc;2–1;Rostov;11,569;VTB Arena;Vasiliy Kazartsev;Match Report;
17;Sun;24.11.2019;13:30:00;Ufa;1–1;Sochi;4,198;Stadion Neftyanik;Aleksey Matyunin;Match Report;
17;Sun;24.11.2019;16:00:00;Ural;0–0;Spartak Moscow;14,637;Stadion Central'nyj;Nikolay Voloshin;Match Report;
17;Sun;24.11.2019;19:00:00;CSKA Moscow;1–0;Samara;11,895;VEB Arena;Vladislav Bezborodov;Match Report;
17;Sun;24.11.2019;20:30:00;Arsenal Tula;1–2;Krasnodar;7,815;Stadion Arsenal;Stanislav Vasilyev;Match Report;
18;Sat;30.11.2019;14:00:00;Samara;0–1;Ufa;5,349;Cosmos Arena;Stanislav Vasilyev;Match Report;
18;Sat;30.11.2019;16:30:00;Rostov;0–0;Ural;11,309;Rostov Arena;Aleksey Sukhoy;Match Report;
18;Sat;30.11.2019;19:00:00;Akhmat Grozny;1–1;Rubin Kazan;11,564;Stadion im. Akhmat-Khaji Kadyrova;Igor Panin;Match Report;
18;Sun;01.12.2019;16:30:00;Loko Moscow;1–2;Dynamo Mosc;17,739;RZD Arena;Sergey Karasev;Match Report;
18;Sun;01.12.2019;19:00:00;Zenit;1–0;Spartak Moscow;55,119;Gazprom Arena;Vitaly Meshkov;Match Report;
18;Mon;02.12.2019;19:30:00;CSKA Moscow;0–1;Arsenal Tula;8,112;VEB Arena;Nikolay Voloshin;Match Report;
18;Mon;02.12.2019;19:30:00;Krasnodar;0–0;Tambov;15,439;Stadion Akademii FK Krasnodar;Sergey Lapochkin;Match Report;
19;Fri;06.12.2019;19:30:00;Zenit;3–0;Dynamo Mosc;48,367;Gazprom Arena;Nikolay Voloshin;Match Report;
19;Fri;06.12.2019;23:30:00;Arsenal Tula;4–0;Loko Moscow;10,284;Stadion Arsenal;Sergey Ivanov;Match Report;
19;Sat;07.12.2019;14:00:00;Tambov;3–0;Orenburg;835;Mordovia Arena;Vladislav Bezborodov;Match Report;
19;Sat;07.12.2019;16:30:00;Krasnodar;1–1;CSKA Moscow;29,567;Stadion Akademii FK Krasnodar;Vasiliy Kazartsev;Match Report;
19;Sat;07.12.2019;19:00:00;Akhmat Grozny;0–1;Ufa;13,214;Stadion im. Akhmat-Khaji Kadyrova;Sergey Karasev;Match Report;
19;Sun;08.12.2019;14:00:00;Samara;2–3;Ural;5,196;Cosmos Arena;Igor Panin;Match Report;
19;Sun;08.12.2019;16:30:00;Sochi;1–1;Rubin Kazan;6,104;Olimpiyskiy Stadion Fisht;Sergey Lapochkin;Match Report;
19;Sun;08.12.2019;19:00:00;Spartak Moscow;1–4;Rostov;22,132;Otkrytie Arena;Evgeny Turbin;Match Report;
20;Fri;28.02.2020;18:30:00;Samara;1–1;Orenburg;8,139;Cosmos Arena;Vitaly Meshkov;Match Report;
20;Sat;29.02.2020;14:00:00;CSKA Moscow;1–1;Ural;14,008;VEB Arena;Pavel Kukuyan;Match Report;
20;Sat;29.02.2020;16:30:00;Dynamo Mosc;0–2;Spartak Moscow;24,946;VTB Arena;Sergey Karasev;Match Report;
20;Sat;29.02.2020;19:00:00;Zenit;0–0;Loko Moscow;51,463;Gazprom Arena;Evgeny Turbin;Match Report;
20;Sat;29.02.2020;19:00:00;Akhmat Grozny;1–1;Rostov;12,681;Stadion im. Akhmat-Khaji Kadyrova;Sergey Lapochkin;Match Report;
20;Sun;01.03.2020;14:00:00;Tambov;0–0;Rubin Kazan;3,858;Stadion Nizhny Novgorod;Aleksey Eskov;Match Report;
20;Sun;01.03.2020;16:30:00;Krasnodar;2–0;Ufa;31,966;Stadion Akademii FK Krasnodar;Stanislav Vasilyev;Match Report;
20;Sun;01.03.2020;19:00:00;Sochi;1–2;Arsenal Tula;5,72;Olimpiyskiy Stadion Fisht;Vladislav Bezborodov;Match Report;
21;Sat;07.03.2020;16:00:00;Orenburg;2–0;Arsenal Tula;2,457;Stadion Gazovik;Pavel Kukuyan;Match Report;
21;Sat;07.03.2020;16:30:00;Dynamo Mosc;1–0;Tambov;10,143;VTB Arena;Vasiliy Kazartsev;Match Report;
21;Sun;08.03.2020;14:00:00;Rubin Kazan;0–1;Samara;5,766;Central'nyj stadion Kazan';Vladimir Moskalev;Match Report;
21;Sun;08.03.2020;16:30:00;Sochi;2–0;Ural;5,051;Olimpiyskiy Stadion Fisht;Mikhail Vilkov;Match Report;
21;Sun;08.03.2020;19:00:00;Loko Moscow;1–0;Akhmat Grozny;14,689;RZD Arena;Kirill Levnikov;Match Report;
21;Mon;09.03.2020;14:00:00;Rostov;3–2;CSKA Moscow;40,432;Rostov Arena;Vladislav Bezborodov;Match Report;
21;Mon;09.03.2020;16:30:00;Spartak Moscow;0–1;Krasnodar;28,245;Otkrytie Arena;Sergey Lapochkin;Match Report;
21;Mon;09.03.2020;19:00:00;Zenit;0–0;Ufa;42,191;Gazprom Arena;Aleksey Sukhoy;Match Report;
18;Wed;11.03.2020;20:30:00;Sochi;5–1;Orenburg;5,147;Olimpiyskiy Stadion Fisht;Evgeny Turbin;Match Report;
22;Fri;13.03.2020;19:30:00;Akhmat Grozny;2–3;Dynamo Mosc;13,232;Stadion im. Akhmat-Khaji Kadyrova;Vitaly Meshkov;Match Report;
22;Sat;14.03.2020;16:00:00;Orenburg;1–3;Spartak Moscow;4,935;Stadion Gazovik;Vasiliy Kazartsev;Match Report;
22;Sat;14.03.2020;16:30:00;Zenit;7–1;Ural;33,677;Gazprom Arena;Vladimir Moskalev;Match Report;
22;Sat;14.03.2020;23:00:00;Arsenal Tula;0–1;Rubin Kazan;8,831;Stadion Arsenal;Sergey Lapochkin;Match Report;
22;Sun;15.03.2020;14:00:00;Sochi;2–0;Krasnodar;;Olimpiyskiy Stadion Fisht;Sergey Ivanov;Match Report;
22;Sun;15.03.2020;16:30:00;CSKA Moscow;0–0;Ufa;3,428;VEB Arena;Nikolay Voloshin;Match Report;
22;Sun;15.03.2020;19:00:00;Rostov;1–3;Loko Moscow;30,127;Rostov Arena;Mikhail Vilkov;Match Report;
22;Mon;16.03.2020;19:30:00;Tambov;3–0;Samara;2,702;Stadion Nizhny Novgorod;Sergey Karasev;Match Report;
23;Fri;19.06.2020;19:00:00;Samara;2–4;Akhmat Grozny;4,107;Cosmos Arena;Aleksey Eskov;Match Report;
23;Fri;19.06.2020;21:00:00;Sochi;10–1;Rostov;2,807;Olimpiyskiy Stadion Fisht;Aleksey Sukhoy;Match Report;
23;Sat;20.06.2020;16:00:00;Ural;1–2;Rubin Kazan;3,043;Stadion Central'nyj;Vasiliy Kazartsev;Match Report;
23;Sat;20.06.2020;16:30:00;Arsenal Tula;2–3;Spartak Moscow;1,896;Stadion Arsenal;Evgeny Turbin;Match Report;
23;Sat;20.06.2020;19:00:00;CSKA Moscow;0–4;Zenit;2,904;VEB Arena;Sergey Ivanov;Match Report;
23;Sun;21.06.2020;17:00:00;Ufa;2–1;Tambov;456;Stadion Neftyanik;Vitaly Meshkov;Match Report;
23;Sun;21.06.2020;17:30:00;Loko Moscow;1–0;Orenburg;1,8;RZD Arena;Stanislav Vasilyev;Match Report;
24;Fri;26.06.2020;18:00:00;Akhmat Grozny;1–1;Sochi;2,807;Stadion im. Akhmat-Khaji Kadyrova;Sergey Karasev;Match Report;
24;Fri;26.06.2020;20:30:00;Zenit;2–1;Samara;6,379;Gazprom Arena;Pavel Kukuyan;Match Report;
24;Sat;27.06.2020;16:00:00;Orenburg;0–3;Krasnodar;;Stadion Gazovik;Sergey Lapochkin;Match Report;Match awarded to Krasnodar
24;Sat;27.06.2020;16:30:00;Spartak Moscow;0–0;Ufa;4,179;Otkrytie Arena;Vladislav Bezborodov;Match Report;
24;Sat;27.06.2020;17:30:00;Rubin Kazan;0–2;Loko Moscow;4,189;Kazan Arena;Nikolay Voloshin;Match Report;
24;Sat;27.06.2020;19:00:00;Dynamo Mosc;0–0;CSKA Moscow;2,432;VTB Arena;Kirill Levnikov;Match Report;
24;Sat;27.06.2020;20:00:00;Rostov;2–1;Arsenal Tula;4,505;Rostov Arena;Vladimir Moskalev;Match Report;
24;Sun;28.06.2020;18:30:00;Ural;2–1;Tambov;3,471;Stadion Central'nyj;Aleksey Matyunin;Match Report;
25;Tue;30.06.2020;18:00:00;Loko Moscow;1–1;Samara;;RZD Arena;Aleksey Sukhoy;Match Report;
25;Tue;30.06.2020;20:30:00;CSKA Moscow;2–0;Spartak Moscow;;VEB Arena;Aleksey Eskov;Match Report;
25;Wed;01.07.2020;17:00:00;Ufa;0–0;Rubin Kazan;;Stadion Neftyanik;Evgeny Turbin;Match Report;
25;Wed;01.07.2020;17:00:00;Orenburg;0–3;Ural;;Stadion Gazovik;Evgeny Kukulyak;Match Report;Match awarded to Ural
25;Wed;01.07.2020;17:30:00;Tambov;1–2;Zenit;;Stadion STC Tambov;Mikhail Vilkov;Match Report;
25;Wed;01.07.2020;17:30:00;Arsenal Tula;1–3;Akhmat Grozny;;Stadion Arsenal;Vasiliy Kazartsev;Match Report;
25;Wed;01.07.2020;20:00:00;Rostov;1–1;Krasnodar;;Rostov Arena;Vitaly Meshkov;Match Report;
25;Wed;01.07.2020;21:00:00;Sochi;1–1;Dynamo Mosc;3,701;Olimpiyskiy Stadion Fisht;Igor Panin;Match Report;
26;Sat;04.07.2020;16:30:00;Dynamo Mosc;0–1;Arsenal Tula;2,254;VTB Arena;Vladislav Bezborodov;Match Report;
26;Sat;04.07.2020;18:30:00;Spartak Moscow;2–3;Tambov;4,163;Otkrytie Arena;Vladimir Moskalev;Match Report;
26;Sat;04.07.2020;19:30:00;Samara;0–0;Rostov;;Cosmos Arena;Nikolay Voloshin;Match Report;
