Столбец1;Wk;Day;Date;Time;Home;Score;Away;Столбец3;Столбец2;Referee;Столбец4;Notes
;8;Sat;18.09.2021;19:00:00;Akhmat Grozny;0–2;Krasnodar;;;Ivan Sidenkov;;
;8;Sun;19.09.2021;16:30:00;Nizhny Novgorod;2–3;Arsenal Tula;;;Artem Lyubimov;;
;8;Sun;19.09.2021;20:00:00;Sochi;0–1;Dynamo Mosc;;;Vasiliy Kazartsev;;
;8;Mon;20.09.2021;18:30:00;Rubin Kazan;1–3;Zenit;;;Sergey Ivanov;;
;8;Mon;20.09.2021;18:30:00;Ural;0–0;Loko Moscow;;;Aleksey Sukhoy;;
;8;Mon;20.09.2021;19:30:00;CSKA Moscow;1–0;Spartak Moscow;;;Sergey Karasev;;
;9;Sat;25.09.2021;14:00:00;FC Khimki;0–0;Loko Moscow;;;Aleksey Amelin;;
;9;Sat;25.09.2021;16:30:00;Zenit;2–1;Samara;;;Vitaly Meshkov;;
;9;Sat;25.09.2021;19:00:00;Spartak Moscow;2–0;Ufa;;;Artem Lyubimov;;
;9;Sun;26.09.2021;14:00:00;Dynamo Mosc;2–0;Rubin Kazan;;;Aleksey Sukhoy;;
;9;Sun;26.09.2021;16:30:00;Rostov;1–2;Akhmat Grozny;;;Vasiliy Kazartsev;;
;9;Sun;26.09.2021;19:00:00;Krasnodar;3–0;Sochi;;;Igor Panin;;
;9;Mon;27.09.2021;19:00:00;Ural;2–0;Arsenal Tula;;;Aleksey Matyunin;;
;9;Mon;27.09.2021;19:00:00;Nizhny Novgorod;0–2;CSKA Moscow;;;Kirill Levnikov;;
;10;Sat;02.10.2021;14:00:00;Rubin Kazan;0–1;Nizhny Novgorod;;;Sergey Karasev;;
;10;Sat;02.10.2021;16:30:00;Dynamo Mosc;0–1;Samara;;;Evgeny Kukulyak;;
;10;Sat;02.10.2021;19:00:00;Arsenal Tula;0–0;FC Khimki;;;Vladislav Bezborodov;;
;10;Sat;02.10.2021;19:00:00;CSKA Moscow;0–0;Krasnodar;;;Vladimir Moskalev;;
;10;Sun;03.10.2021;16:00:00;Ufa;0–1;Ural;;;Vitaly Meshkov;;
;10;Sun;03.10.2021;16:30:00;Zenit;1–2;Sochi;;;Pavel Shadykhanov;;
;10;Sun;03.10.2021;19:00:00;Akhmat Grozny;0–1;Spartak Moscow;;;Kirill Levnikov;;
;10;Sun;03.10.2021;19:00:00;Loko Moscow;1–2;Rostov;;;Pavel Kukuyan;;
;11;Sat;16.10.2021;16:30:00;Rubin Kazan;2–2;Loko Moscow;;;Kirill Levnikov;;
;11;Sat;16.10.2021;18:00:00;Arsenal Tula;2–1;Zenit;;;Pavel Kukuyan;;
;11;Sat;16.10.2021;19:00:00;Sochi;3–2;Rostov;;;Evgeny Kukulyak;;
;11;Sat;16.10.2021;19:00:00;Spartak Moscow;2–2;Dynamo Mosc;;;Sergey Karasev;;
;11;Sun;17.10.2021;16:00:00;Ural;0–1;CSKA Moscow;;;Artem Lyubimov;;
;11;Sun;17.10.2021;16:30:00;FC Khimki;2–0;Akhmat Grozny;;;Pavel Shadykhanov;;
;11;Sun;17.10.2021;16:30:00;Samara;2–0;Nizhny Novgorod;;;Aleksey Amelin;;
;11;Sun;17.10.2021;19:00:00;Krasnodar;1–1;Ufa;;;Aleksey Sukhoy;;
;12;Fri;22.10.2021;19:00:00;Dynamo Mosc;4–1;FC Khimki;;;Ivan Sidenkov;;
;12;Sat;23.10.2021;14:00:00;Nizhny Novgorod;1–4;Krasnodar;;;Aleksey Matyunin;;
;12;Sat;23.10.2021;16:30:00;Rostov;4–0;Arsenal Tula;;;Kirill Levnikov;;
;12;Sat;23.10.2021;19:00:00;CSKA Moscow;3–1;Samara;;;Vitaly Meshkov;;
;12;Sun;24.10.2021;16:00:00;Ufa;1–1;Rubin Kazan;;;Igor Panin;;
;12;Sun;24.10.2021;16:30:00;Akhmat Grozny;1–0;Ural;;;Sergey Karasev;;
;12;Sun;24.10.2021;19:00:00;Zenit;7–1;Spartak Moscow;;;Sergey Ivanov;;
;12;Mon;25.10.2021;19:00:00;Loko Moscow;2–1;Sochi;;;Vladislav Bezborodov;;
;13;Fri;29.10.2021;19:00:00;Zenit;4–1;Dynamo Mosc;;;Sergey Karasev;;
;13;Sat;30.10.2021;14:00:00;Rubin Kazan;1–0;CSKA Moscow;;;Vladislav Bezborodov;;
;13;Sat;30.10.2021;16:30:00;Spartak Moscow;1–1;Rostov;;;Artem Lyubimov;;
;13;Sat;30.10.2021;19:00:00;Krasnodar;0–1;Samara;;;Evgeny Kukulyak;;
;13;Sat;30.10.2021;19:00:00;Nizhny Novgorod;1–2;Loko Moscow;;;Aleksey Sukhoy;;
;13;Sun;31.10.2021;16:00:00;Ufa;1–0;Akhmat Grozny;;;Aleksey Amelin;;
;13;Sun;31.10.2021;16:30:00;Arsenal Tula;1–2;Sochi;;;Pavel Shadykhanov;;
;13;Sun;31.10.2021;19:00:00;FC Khimki;0–0;Ural;;;Pavel Kukuyan;;
;14;Sat;06.11.2021;14:00:00;Arsenal Tula;0–0;Ufa;;;Kirill Levnikov;;
;14;Sat;06.11.2021;16:30:00;Dynamo Mosc;1–0;Krasnodar;;;Vladimir Moskalev;;
;14;Sat;06.11.2021;17:30:00;Samara;3–0;FC Khimki;;;Artem Lyubimov;;
;14;Sat;06.11.2021;20:00:00;Sochi;4–1;CSKA Moscow;;;Sergey Ivanov;;
;14;Sun;07.11.2021;16:00:00;Ural;0–0;Zenit;;;Igor Panin;;
;14;Sun;07.11.2021;16:30:00;Rostov;5–1;Rubin Kazan;;;Pavel Shadykhanov;;
;14;Sun;07.11.2021;19:00:00;Akhmat Grozny;3–1;Nizhny Novgorod;;;Vladislav Bezborodov;;
;14;Sun;07.11.2021;19:00:00;Spartak Moscow;1–1;Loko Moscow;;;Ivan Sidenkov;;
;15;Fri;19.11.2021;19:00:00;Zenit;5–1;Nizhny Novgorod;;;Pavel Kukuyan;;
;15;Sat;20.11.2021;15:00:00;Samara;1–1;Ural;;;Kirill Levnikov;;
;15;Sat;20.11.2021;16:30:00;Loko Moscow;1–2;Akhmat Grozny;;;Sergey Ivanov;;
;15;Sat;20.11.2021;19:00:00;Krasnodar;2–1;Spartak Moscow;;;Aleksey Sukhoy;;
;15;Sun;21.11.2021;14:00:00;CSKA Moscow;0–0;FC Khimki;;;Vladislav Bezborodov;;
;15;Sun;21.11.2021;14:00:00;Rostov;2–2;Ufa;;;Evgeny Kukulyak;;
;15;Sun;21.11.2021;16:30:00;Dynamo Mosc;5–1;Arsenal Tula;;;Vitaly Meshkov;;
;15;Sun;21.11.2021;20:30:00;Sochi;1–2;Rubin Kazan;;;Aleksey Matyunin;;
;16;Sat;27.11.2021;16:00:00;Ural;1–1;Sochi;;;Artem Lyubimov;;
;16;Sat;27.11.2021;16:30:00;Akhmat Grozny;2–0;Rostov;;;Vladislav Bezborodov;;
;16;Sat;27.11.2021;19:00:00;FC Khimki;3–3;Krasnodar;;;Pavel Shadykhanov;;
;16;Sun;28.11.2021;14:00:00;Nizhny Novgorod;0–0;Samara;;;Vitaly Meshkov;;
;16;Sun;28.11.2021;16:30:00;Rubin Kazan;2–3;Dynamo Mosc;;;Kirill Levnikov;;
;16;Sun;28.11.2021;20:00:00;CSKA Moscow;0–2;Zenit;;;Sergey Karasev;;
;16;Mon;29.11.2021;19:00:00;Ufa;1–1;Spartak Moscow;;;Pavel Kukuyan;;
;16;Mon;29.11.2021;19:00:00;Arsenal Tula;3–1;Loko Moscow;;;Vladimir Moskalev;;
;17;Fri;03.12.2021;19:00:00;Zenit;2–2;Rostov;;;Aleksey Matyunin;;
;17;Sat;04.12.2021;15:00:00;Samara;0–1;CSKA Moscow;;;Vladimir Moskalev;;
;17;Sat;04.12.2021;17:00:00;Spartak Moscow;2–1;Akhmat Grozny;;;Vitaly Meshkov;;
;17;Sat;04.12.2021;19:00:00;Loko Moscow;0–1;Ural;;;Kirill Levnikov;;
;17;Sun;05.12.2021;14:00:00;FC Khimki;1–2;Arsenal Tula;;;Evgeny Kukulyak;;
;17;Sun;05.12.2021;16:30:00;Nizhny Novgorod;2–1;Rubin Kazan;;;Artem Chistyakov;;
;17;Sun;05.12.2021;16:30:00;Dynamo Mosc;2–0;Ufa;;;Vladislav Bezborodov;;
;17;Sun;05.12.2021;20:00:00;Sochi;1–2;Krasnodar;;;Sergey Karasev;;
;18;Sat;11.12.2021;15:00:00;Samara;2–0;Rubin Kazan;;;Aleksey Sukhoy;;
;18;Sat;11.12.2021;16:30:00;CSKA Moscow;2–0;Arsenal Tula;;;Igor Panin;;
;18;Sat;11.12.2021;19:00:00;Rostov;1–4;Ural;;;Pavel Kukuyan;;
;18;Sun;12.12.2021;14:00:00;Dynamo Mosc;1–1;Zenit;;;Sergey Karasev;;
;18;Sun;12.12.2021;16:30:00;Akhmat Grozny;4–1;FC Khimki;;;Aleksey Amelin;;
;18;Sun;12.12.2021;19:00:00;Loko Moscow;2–0;Ufa;;;Artem Lyubimov;;
;18;Sun;12.12.2021;19:00:00;Krasnodar;0–0;Nizhny Novgorod;;;Evgeny Kukulyak;;
;18;Mon;13.12.2021;20:00:00;Sochi;3–0;Spartak Moscow;;;Sergey Ivanov;;
;19;Sat;26.02.2022;14:00:00;FC Khimki;0–3;Dynamo Mosc;;;Kirill Levnikov;;
;19;Sat;26.02.2022;14:00:00;Nizhny Novgorod;1–0;Ural;;;Vasiliy Kazartsev;;
;19;Sat;26.02.2022;16:30:00;Sochi;2–0;Arsenal Tula;;;Vladislav Bezborodov;;
;19;Sat;26.02.2022;19:00:00;Spartak Moscow;0–2;CSKA Moscow;;;Vitaly Meshkov;;
;19;Sun;27.02.2022;19:00:00;Akhmat Grozny;2–1;Ufa;;;Aleksey Sukhoy;;
;19;Mon;28.02.2022;19:00:00;Zenit;3–2;Rubin Kazan;;;Evgeny Kukulyak;;
;20;Sat;05.03.2022;19:00:00;CSKA Moscow;1–0;Nizhny Novgorod;;;Pavel Kukuyan;;
;20;Sun;06.03.2022;14:00:00;Samara;2–2;Arsenal Tula;;;Pavel Shadykhanov;;
;20;Sun;06.03.2022;14:00:00;Loko Moscow;3–2;FC Khimki;;;Artem Lyubimov;;
;20;Sun;06.03.2022;19:00:00;Dynamo Mosc;0–2;Spartak Moscow;;;Sergey Karasev;;
;20;Mon;07.03.2022;14:00:00;Krasnodar;2–1;Ural;;;Evgeny Turbin;;
;20;Mon;07.03.2022;16:30:00;Rostov;0–1;Sochi;;;Igor Panin;;
;20;Mon;07.03.2022;16:30:00;Zenit;2–0;Ufa;;;Sergey Ivanov;;
;20;Mon;07.03.2022;19:00:00;Akhmat Grozny;1–2;Rubin Kazan;;;Vladimir Moskalev;;
;21;Sat;12.03.2022;16:00:00;Ufa;0–0;Nizhny Novgorod;;;Vladislav Bezborodov;;
