Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;21.07.2023;19:00:00;Dynamo Mosc;1–3;Krasnodar;9,612;VTB Arena;Kirill Levnikov;Match Report;
1;Sat;22.07.2023;15:00:00;Ural;2–1;CSKA Moscow;13,525;Stadion Central'nyj;Aleksey Amelin;Match Report;
1;Sat;22.07.2023;15:15:00;Nizhny Novgorod;0–2;Zenit;12,036;Stadion Nizhny Novgorod;Sergey Ivanov;Match Report;
1;Sat;22.07.2023;17:30:00;Loko Moscow;2–2;Rubin Kazan;6,721;RZD Arena;Vladislav Bezborodov;Match Report;
1;Sat;22.07.2023;20:00:00;Akhmat Grozny;1–2;Samara;4,777;Stadion im. Akhmat-Khaji Kadyrova;Sergey Karasev;Match Report;
1;Sun;23.07.2023;17:30:00;Spartak Moscow;3–2;Orenburg;11,466;Otkrytie Arena;Artem Chistyakov;Match Report;
1;Sun;23.07.2023;20:00:00;Rostov;2–1;Fakel Voronezh;11,02;Rostov Arena;Pavel Shadykhanov;Match Report;
1;Sun;23.07.2023;21:00:00;Sochi;2–0;FC Baltika Kaliningrad;4,535;Olimpiyskiy Stadion Fisht;Rafael Shafeev;Match Report;
2;Sat;29.07.2023;16:00:00;Samara;3–3;Dynamo Mosc;6,189;Cosmos Arena;Artem Lyubimov;Match Report;
2;Sat;29.07.2023;19:30:00;Ural;0–0;Nizhny Novgorod;7,735;Stadion Central'nyj;Artem Chistyakov;Match Report;
2;Sat;29.07.2023;20:00:00;Rostov;1–1;Zenit;16,413;Rostov Arena;Evgeny Kukulyak;Match Report;
2;Sun;30.07.2023;15:00:00;Rubin Kazan;1–1;Orenburg;4,822;Ak Bars Arena;Vitaly Meshkov;Match Report;
2;Sun;30.07.2023;17:30:00;Fakel Voronezh;1–4;Loko Moscow;13,085;Centralnyj Stadion Profsoyuzov;Vasiliy Kazartsev;Match Report;
2;Sun;30.07.2023;20:00:00;Akhmat Grozny;2–3;CSKA Moscow;5,612;Stadion im. Akhmat-Khaji Kadyrova;Vladislav Bezborodov;Match Report;
2;Sun;30.07.2023;20:00:00;Krasnodar;2–0;Sochi;13,29;Krasnodar Stadium;Vladimir Moskalev;Match Report;
2;Mon;31.07.2023;19:30:00;Spartak Moscow;2–1;FC Baltika Kaliningrad;10,992;Otkrytie Arena;Pavel Kukuyan;Match Report;
3;Fri;04.08.2023;20:00:00;Krasnodar;1–0;Nizhny Novgorod;12,217;Krasnodar Stadium;Artem Lyubimov;Match Report;
3;Sat;05.08.2023;16:00:00;Samara;5–1;Rostov;6,125;Cosmos Arena;Sergey Karasev;Match Report;
3;Sat;05.08.2023;17:30:00;Rubin Kazan;1–4;Spartak Moscow;17,806;Ak Bars Arena;Evgeny Kukulyak;Match Report;
3;Sat;05.08.2023;19:30:00;Orenburg;0–2;Ural;3,496;Stadion Gazovik;Rafael Shafeev;Match Report;
3;Sat;05.08.2023;20:00:00;CSKA Moscow;4–1;Loko Moscow;12,56;VEB Arena;Kirill Levnikov;Match Report;
3;Sun;06.08.2023;16:30:00;FC Baltika Kaliningrad;2–1;Fakel Voronezh;11,615;Stadion Baltika;Aleksey Sukhoy;Match Report;
3;Sun;06.08.2023;19:00:00;Zenit;2–3;Dynamo Mosc;24,672;Gazprom Arena;Aleksey Amelin;Match Report;
3;Sun;06.08.2023;21:00:00;Sochi;1–2;Akhmat Grozny;5,366;Olimpiyskiy Stadion Fisht;Pavel Shadykhanov;Match Report;
4;Fri;11.08.2023;20:00:00;Ural;3–2;Spartak Moscow;19,385;Stadion Central'nyj;Kirill Levnikov;Match Report;
4;Sat;12.08.2023;15:00:00;Loko Moscow;;Samara;;RZD Arena;;Head-to-Head;
4;Sat;12.08.2023;19:30:00;Orenburg;;Krasnodar;;Stadion Gazovik;;Head-to-Head;
4;Sat;12.08.2023;20:00:00;Rostov;;Rubin Kazan;;Rostov Arena;;Head-to-Head;
4;Sun;13.08.2023;15:00:00;Dynamo Mosc;;FC Baltika Kaliningrad;;VTB Arena;;Head-to-Head;
4;Sun;13.08.2023;17:30:00;Zenit;;Fakel Voronezh;;Gazprom Arena;;Head-to-Head;
4;Sun;13.08.2023;20:00:00;CSKA Moscow;;Sochi;;VEB Arena;;Head-to-Head;
4;Mon;14.08.2023;19:30:00;Nizhny Novgorod;;Akhmat Grozny;;Stadion Nizhny Novgorod;;Head-to-Head;
5;Fri;18.08.2023;19:30:00;Rubin Kazan;;Samara;;Ak Bars Arena;;Head-to-Head;
5;Sat;19.08.2023;15:00:00;Dynamo Mosc;;CSKA Moscow;;VTB Arena;;Head-to-Head;
5;Sat;19.08.2023;16:30:00;FC Baltika Kaliningrad;;Ural;;Stadion Baltika;;Head-to-Head;
5;Sat;19.08.2023;19:30:00;Krasnodar;;Loko Moscow;;Krasnodar Stadium;;Head-to-Head;
5;Sat;19.08.2023;20:00:00;Sochi;;Rostov;;Olimpiyskiy Stadion Fisht;;Head-to-Head;
5;Sun;20.08.2023;17:30:00;Fakel Voronezh;;Nizhny Novgorod;;Centralnyj Stadion Profsoyuzov;;Head-to-Head;
5;Sun;20.08.2023;19:30:00;Spartak Moscow;;Zenit;;Otkrytie Arena;;Head-to-Head;
5;Sun;20.08.2023;20:00:00;Akhmat Grozny;;Orenburg;;Stadion im. Akhmat-Khaji Kadyrova;;Head-to-Head;
6;Fri;25.08.2023;19:30:00;Orenburg;;CSKA Moscow;;Stadion Gazovik;;Head-to-Head;
6;Fri;25.08.2023;20:00:00;Fakel Voronezh;;Krasnodar;;Centralnyj Stadion Profsoyuzov;;Head-to-Head;
6;Sat;26.08.2023;15:00:00;Zenit;;Ural;;Gazprom Arena;;Head-to-Head;
6;Sat;26.08.2023;17:30:00;Rubin Kazan;;Dynamo Mosc;;Ak Bars Arena;;Head-to-Head;
6;Sat;26.08.2023;19:30:00;Spartak Moscow;;Akhmat Grozny;;Otkrytie Arena;;Head-to-Head;
6;Sat;26.08.2023;20:00:00;Nizhny Novgorod;;Rostov;;Stadion Nizhny Novgorod;;Head-to-Head;
6;Sun;27.08.2023;17:30:00;Samara;;FC Baltika Kaliningrad;;Cosmos Arena;;Head-to-Head;
6;Sun;27.08.2023;20:00:00;Sochi;;Loko Moscow;;Olimpiyskiy Stadion Fisht;;Head-to-Head;
7;Sat;02.09.2023;15:00:00;Ural;;Akhmat Grozny;;Stadion Central'nyj;;Head-to-Head;
7;Sat;02.09.2023;15:51:00;Nizhny Novgorod;;Rubin Kazan;;Stadion Nizhny Novgorod;;Head-to-Head;
7;Sat;02.09.2023;20:00:00;Krasnodar;;Spartak Moscow;;Krasnodar Stadium;;Head-to-Head;
7;Sun;03.09.2023;15:00:00;Orenburg;;Sochi;;Stadion Gazovik;;Head-to-Head;
7;Sun;03.09.2023;15:15:00;Loko Moscow;;FC Baltika Kaliningrad;;RZD Arena;;Head-to-Head;
7;Sun;03.09.2023;17:30:00;Samara;;Fakel Voronezh;;Cosmos Arena;;Head-to-Head;
7;Sun;03.09.2023;17:30:00;CSKA Moscow;;Zenit;;VEB Arena;;Head-to-Head;
7;Sun;03.09.2023;20:00:00;Rostov;;Dynamo Mosc;;Rostov Arena;;Head-to-Head;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
