Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;Attendance;Top Team Scorer;Goalkeeper;Notes
1;Zenit;30;21;7;2;74;20;54;70;2.33;30,693;Malcom - 23;Mikhail Kerzhakov;
2;CSKA Moscow;30;17;7;6;56;27;29;58;1.93;9,116;Fyodor Chalov - 19;Igor Akinfeev;
3;Spartak Moscow;30;15;9;6;60;38;22;54;1.80;10,912;Quincy Promes - 20;Aleksandr Selikhov;
4;Rostov;30;15;8;7;48;44;4;53;1.77;7,219;Nikolay Komlichenko - 10;Sergei Pesyakov;
5;Akhmat Grozny;30;15;5;10;51;39;12;50;1.67;6,633;Mohamed Konaté - 11;Giorgi Shelia;
6;Krasnodar;30;13;9;8;62;46;16;48;1.60;19,158;Jhon Córdoba - 14;Matvei Safonov;
7;Orenburg;30;14;4;12;58;55;3;46;1.53;4,878;Vladimir Pisarskiy - 14;Nikolai Sysuyev;
8;Loko Moscow;30;13;6;11;54;46;8;45;1.50;7,693;Anton Miranchuk, Artem Dzyuba... - 8;Daniil Khudyakov;
9;Dynamo Mosc;30;13;6;11;49;45;4;45;1.50;13,747;Fyodor Smolov - 10;Anton Shunin;
10;Sochi;30;11;5;14;37;54;-17;38;1.27;3,333;Christian Noboa - 11;Denis Adamov;
11;Ural;30;10;6;14;33;45;-12;36;1.20;4,851;Aleksandr Yushin, Aleksei Kashtanov - 5;Ilya Pomazun;
12;Samara;30;8;8;14;32;45;-13;32;1.07;6,229;Maksim Glushenkov - 5;Ivan Lomaev;
13;Nizhny Novgorod;30;8;6;16;33;50;-17;30;1.00;7,258;Timur Suleimanov - 10;Artur Nigmatullin;→ Russian 1/2 Relegation/Promotion Playoff
14;Fakel Voronezh;30;6;12;12;36;48;-12;30;1.00;13,921;Georgi Gongadze - 9;Ilja Svinov;→ Russian 1/2 Relegation/Promotion Playoff
15;FC Khimki;30;4;6;20;25;67;-42;18;0.60;1,932;Butta Magomedov - 5;Ilya Lantratov;Relegated
16;Torpedo Moscow;30;3;4;23;22;61;-39;13;0.43;3,247;Ilya Stefanovich - 5;Yegor Baburin;Relegated
