Столбец4;Wk;Day;Date;Time;Home;Score;Away;Столбец3;Столбец2;Referee;Столбец1;Notes
;1;Fri;15.07.2022;20:00:00;FC Khimki;1–1;Zenit;;;Evgeny Kukulyak;;
;1;Sat;16.07.2022;15:00:00;CSKA Moscow;2–0;Ural;;;Vitaly Meshkov;;
;1;Sat;16.07.2022;19:30:00;Orenburg;2–4;Samara;;;Pavel Shadykhanov;;
;1;Sat;16.07.2022;20:00:00;Akhmat Grozny;1–1;Spartak Moscow;;;Vladislav Bezborodov;;
;1;Sun;17.07.2022;15:00:00;Torpedo Moscow;1–3;Sochi;;;Sergey Ivanov;;
;1;Sun;17.07.2022;17:30:00;Loko Moscow;1–1;Nizhny Novgorod;;;Vasiliy Kazartsev;;
;1;Sun;17.07.2022;20:00:00;Dynamo Mosc;1–1;Rostov;;;Pavel Kukuyan;;
;1;Sun;17.07.2022;20:00:00;Krasnodar;2–2;Fakel Voronezh;;;Sergey Karasev;;
;2;Fri;22.07.2022;20:00:00;Zenit;3–0;Samara;;;Artem Chistyakov;;
;2;Sat;23.07.2022;15:00:00;CSKA Moscow;3–0;Sochi;;;Vladimir Moskalev;;
;2;Sat;23.07.2022;19:30:00;Orenburg;3–0;Ural;;;Yan Bobrovskiy;;
;2;Sat;23.07.2022;20:00:00;Krasnodar;1–4;Spartak Moscow;;;Kirill Levnikov;;
;2;Sun;24.07.2022;15:00:00;FC Khimki;3–0;Nizhny Novgorod;;;Artem Lyubimov;;
;2;Sun;24.07.2022;17:30:00;Dynamo Mosc;4–0;Torpedo Moscow;;;Vladislav Bezborodov;;
;2;Sun;24.07.2022;20:00:00;Akhmat Grozny;2–1;Fakel Voronezh;;;Aleksey Amelin;;
;2;Sun;24.07.2022;20:00:00;Loko Moscow;2–2;Rostov;;;Aleksey Sukhoy;;
;3;Fri;29.07.2022;20:00:00;Ural;1–3;Krasnodar;;;Vladimir Moskalev;;
;3;Sat;30.07.2022;15:00:00;Fakel Voronezh;3–3;Dynamo Mosc;;;Sergey Ivanov;;
;3;Sat;30.07.2022;17:30:00;Zenit;5–0;Loko Moscow;;;Sergey Karasev;;
;3;Sat;30.07.2022;20:00:00;Sochi;2–1;Akhmat Grozny;;;Artem Lyubimov;;
