Round;Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
Regular season;30;Sun;26.05.2019;14:00:00;Anzhi;0–2;Ural;2,25;Anzhi-Arena;Evgeny Turbin;Match Report;
Regular season;30;Sun;26.05.2019;14:00:00;Dynamo Mosc;3–3;Arsenal Tula;23,34;Arena Khimki;Vladislav Bezborodov;Match Report;
Regular season;30;Sun;26.05.2019;14:00:00;Akhmat Grozny;1–0;Rostov;8,63;Stadion im. Akhmat-Khaji Kadyrova;Vasiliy Kazartsev;Match Report;
Regular season;30;Sun;26.05.2019;14:00:00;Loko Moscow;1–0;Ufa;18,183;RZD Arena;Sergey Ivanov;Match Report;
Regular season;30;Sun;26.05.2019;14:00:00;CSKA Moscow;6–0;Samara;22,053;VEB Arena;Vitaly Meshkov;Match Report;
Regular season;30;Sun;26.05.2019;14:00:00;Zenit;4–1;Yenisey;50,073;Gazprom Arena;Aleksey Sukhoy;Match Report;
Regular season;30;Sun;26.05.2019;14:00:00;Krasnodar;1–0;Rubin Kazan;34,897;Stadion Akademii FK Krasnodar;Vladimir Moskalev;Match Report;
Regular season;30;Sun;26.05.2019;16:00:00;Orenburg;2–0;Spartak Moscow;6,927;Stadion Gazovik;Kirill Levnikov;Match Report;
Russian 1/2 Relegation/Promotion Playoff;;Thu;30.05.2019;19:00:00;Nizhny Novgorod;1–3;Samara;21,8;Stadion Nizhny Novgorod;;Match Report;Leg 1 of 2
Russian 1/2 Relegation/Promotion Playoff;;Thu;30.05.2019;19:00:00;Ufa;2–0;Tom Tomsk;9,384;Stadion Neftyanik;;Match Report;Leg 1 of 2
Russian 1/2 Relegation/Promotion Playoff;;Sun;02.06.2019;18:00:00;Tom Tomsk;1–0;Ufa;6,21;Stadion Trud;;Match Report;"Leg 2 of 2; Ufa won"
Russian 1/2 Relegation/Promotion Playoff;;Sun;02.06.2019;18:00:00;Samara;0–1;Nizhny Novgorod;23,441;Cosmos Arena;;Match Report;"Leg 2 of 2; Samara won"
